Parameter,Function,Test Case,cyclomatic_complexity
(int num),"public class ConvertArabicToLetters {
public static String ConvertArabicToLetters(int num) {
        String letters = """";
        while (num > 0) {
            num--;
            letters = Character.toString((char) (65 + (num % 26))) + letters;
            num = num / 26;
        }
        return letters.toString();
    }
}","@Test
    public void testConvertNumbersLen2() {

        String str = StringUtils.ConvertArabicToLetters(27);

        assertTrue(str.equals(""AA""));
    }",2
(int num),"public class ConvertArabicToLetters {
public static String ConvertArabicToLetters(int num) {
        String letters = """";
        while (num > 0) {
            num--;
            letters = Character.toString((char) (65 + (num % 26))) + letters;
            num = num / 26;
        }
        return letters.toString();
    }
}","@Test
    public void testConvertNumbersLen1() {

        String str = StringUtils.ConvertArabicToLetters(3);

        assertTrue(str.equals(""C""));
    }",2
(double sMbi),"public class Encode {
public static byte[] encode(double sMbi) {
        return encode((int) Math.round(sMbi * 100_000_000));
    }
}","@Test(expected = Error.class)
    public void testMinValue() {
        MultiByteInteger.encode(MultiByteInteger.MIN_SIZE - 1);
    }",1
(double sMbi),"public class Encode {
public static byte[] encode(double sMbi) {
        return encode((int) Math.round(sMbi * 100_000_000));
    }
}","@Test(expected = Error.class)
    public void testMaxValue() {
        MultiByteInteger.encode(MultiByteInteger.MAX_SIZE + 1);
    }",1
(boolean [] booleans),"public class BooleansToInt {
public static int booleansToInt(boolean [] booleans)
    {
        int intValue = 0;
        for(int i =0; i < booleans.length; i++)
        {
            if(booleans[i])
            {
                intValue += (1 << i);
            }
        }
        return intValue;
    }
}","@Test
    public void booleansToInt_1538(){
        boolean [] testCase = new boolean[] { false, true, false, false, false, false, false, false, false, true, true, false};
        int expected = 1538;
        int actual = Utility.booleansToInt(testCase);

        Assert.assertEquals(expected, actual);
    }",3
(boolean [] booleans),"public class BooleansToInt {
public static int booleansToInt(boolean [] booleans)
    {
        int intValue = 0;
        for(int i =0; i < booleans.length; i++)
        {
            if(booleans[i])
            {
                intValue += (1 << i);
            }
        }
        return intValue;
    }
}","@Test
    public void booleansToInt_127(){
        boolean [] testCase = new boolean[7];
        Arrays.fill(testCase, true);
        int expected = 127;
        int actual = Utility.booleansToInt(testCase);

        Assert.assertEquals(expected, actual);
    }",3
"(char value, int n)","public class Repeat {
public static String repeat(char value, int n) {
        return new String(new char[n]).replace(""\0"", String.valueOf(value));
    }
}","@Test
    public void testRepeat() {
        assertThat(repeat('0', 0), is(""""));
        assertThat(repeat('1', 3), is(""111""));
    }",1
"(int zoomLevelMinutes, int maxMinutesToFetch, int maxTilesToDisplay)","public class GetNumTiles {
static int getNumTiles(int zoomLevelMinutes, int maxMinutesToFetch, int maxTilesToDisplay) {
        return Math.min(maxMinutesToFetch / zoomLevelMinutes, maxTilesToDisplay);
    }
}","@Test
    public void testNumTiles() {
        // At zoom level of 1 day, display at most 7 tiles
        Assert.assertEquals(7, UIServlet.getNumTiles(60*24, 60*24*7, 48));
        // At zoom level of 1 hour, display at most 48 tiles
        Assert.assertEquals(48, UIServlet.getNumTiles(60, 60*24*7, 48));
        // At zoom level of 1 minute, display at most 48 tiles
        Assert.assertEquals(48, UIServlet.getNumTiles(1, 60*24*7, 48));
    }",1
(int value),"public class IntToPositiveLong {
static long intToPositiveLong(int value) {
		if (value >= 0) {
			return value;
		} else {
			return (long) Integer.MAX_VALUE - value;
		}
	}
}","@Test
	public void testIdShouldBePositive() throws Exception {
		assertEquals(0, intToPositiveLong(0));
		assertEquals(1, intToPositiveLong(1));
		assertEquals(10000, intToPositiveLong(10000));
		assertEquals(Integer.MAX_VALUE, intToPositiveLong(Integer.MAX_VALUE));
		assertEquals((long) Integer.MAX_VALUE + 1, intToPositiveLong(-1));
		assertEquals((long) Integer.MAX_VALUE + 100, intToPositiveLong(-100));
		assertEquals((long) Integer.MAX_VALUE - Integer.MIN_VALUE - 1, intToPositiveLong(Integer.MIN_VALUE + 1));
		assertEquals((long) Integer.MAX_VALUE - Integer.MIN_VALUE, intToPositiveLong(Integer.MIN_VALUE));
	}",2
"(char value, int n)","public class Repeat {
public static String repeat(char value, int n) {
        return new String(new char[n]).replace(""\0"", String.valueOf(value));
    }
}","@Test
    public void testRepeat() {
        assertThat(repeat('0', 0), is(""""));
        assertThat(repeat('1', 3), is(""111""));
    }",1
(short key),"public class ExtractStatisticId {
int extractStatisticId(short key) {
        return 0;
    }
}","@Test
    public void extractStatisticsId() {
        assertEquals(0, statistics.extractStatisticId((short) 0));
        assertEquals(0, statistics.extractStatisticId((short) 9));
        assertEquals(0, statistics.extractStatisticId((short) 11));
        assertEquals(0, statistics.extractStatisticId((short) 55));
    }",1
"(int A, int B,
                           int C, int D,
                           int E, int F,
                           int G, int H)","public class ComputeArea {
public int computeArea(int A, int B,
                           int C, int D,
                           int E, int F,
                           int G, int H) {
        int areaSum = (C-A)*(D-B) + (G-E)*(H-F);

        if(E>=C || A>=G || B>=H || F>=D){
            return areaSum;
        }
        int bX = Math.max(A, E);
        int bY = Math.max(B, F);
        int tX = Math.min(C, G);
        int tY = Math.min(D, H);
        int areaIntersect = (tX-bX)*(tY-bY);

        return areaSum - areaIntersect;

    }
}","@Test
    public void overlapAreaTest(){
        rectangle=new OverlapRectangle();
        //rectangle.computeArea(-3,0,3,4,0,-1,9,2);
        int result=rectangle.computeArea(0,0,0,0,-1,-1,1,1);
        //int result= rectangle.computeArea(-2,-2,2,2,3,3,4,4);
        Assertions.assertEquals(4,result);


    }",5
(char c),"public class IsLowerCase {
public static boolean isLowerCase(char c) {
        // Note: This was benchmarked against the alternate expression ""(char)(c - 'a') < 26"" (Nov '13)
        // and found to perform at least as well, or better.
        return (c >= 'a') && (c <= 'z');
    }
}","@Test
    public void testIsLowerCaseOne() {
        assertFalse(Ascii.isLowerCase('{'));
    }",2
(char c),"public class IsLowerCase {
public static boolean isLowerCase(char c) {
        // Note: This was benchmarked against the alternate expression ""(char)(c - 'a') < 26"" (Nov '13)
        // and found to perform at least as well, or better.
        return (c >= 'a') && (c <= 'z');
    }
}","@Test
    public void testIsLowerCaseReturningTrue() {
        assertTrue(Ascii.isLowerCase('o'));
    }",2
(char c),"public class IsLowerCase {
public static boolean isLowerCase(char c) {
        // Note: This was benchmarked against the alternate expression ""(char)(c - 'a') < 26"" (Nov '13)
        // and found to perform at least as well, or better.
        return (c >= 'a') && (c <= 'z');
    }
}","@Test
    public void testIsLowerCaseTwo() {
        assertFalse(Ascii.isLowerCase('\""'));
    }",2
(long bytes),"public class HumanReadableByteCount {
public static String humanReadableByteCount(long bytes) {
        return bytes < 1024L ? bytes + "" B""
                : bytes < 0xfffccccccccccccL >> 40 ? String.format(""%.1f KiB"", bytes / 0x1p10)
                : bytes < 0xfffccccccccccccL >> 30 ? String.format(""%.1f MiB"", bytes / 0x1p20)
                : bytes < 0xfffccccccccccccL >> 20 ? String.format(""%.1f GiB"", bytes / 0x1p30)
                : bytes < 0xfffccccccccccccL >> 10 ? String.format(""%.1f TiB"", bytes / 0x1p40)
                : bytes < 0xfffccccccccccccL ? String.format(""%.1f PiB"", (bytes >> 10) / 0x1p40)
                : String.format(""%.1f EiB"", (bytes >> 20) / 0x1p40);
    }
}","@Test
    public void testHumanReadableByteCount() {
        Assert.assertEquals(StringUtils.humanReadableByteCount(1023L), ""1023 B"");
        Assert.assertEquals(StringUtils.humanReadableByteCount(1024L), ""1.0 KiB"");
        Assert.assertEquals(StringUtils.humanReadableByteCount(1024L * 1024L), ""1.0 MiB"");
        Assert.assertEquals(StringUtils.humanReadableByteCount(1024L * 1024L - 100), ""1023.9 KiB"");
        Assert.assertEquals(StringUtils.humanReadableByteCount(1024L * 1024 * 1024L), ""1.0 GiB"");
        Assert.assertEquals(StringUtils.humanReadableByteCount(1024L * 1024 * 1024 * 1024L), ""1.0 TiB"");
        Assert.assertEquals(StringUtils.humanReadableByteCount(1024L * 1024 * 1024 * 1024 * 1024), ""1.0 PiB"");
    }",1
(int version),"public class GetMajorVersion {
public static int getMajorVersion(int version) {
        return 0x0000FFFF & version;
    }
}","@Test
    public void testGetMajorVersion() throws Exception {
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_1)).isEqualTo(45);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_2)).isEqualTo(46);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_3)).isEqualTo(47);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_4)).isEqualTo(48);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_5)).isEqualTo(49);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_6)).isEqualTo(50);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_7)).isEqualTo(51);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V1_8)).isEqualTo(52);

        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V9)).isEqualTo(53);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V10)).isEqualTo(54);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V11)).isEqualTo(55);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V12)).isEqualTo(56);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V13)).isEqualTo(57);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V14)).isEqualTo(58);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V15)).isEqualTo(59);
        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V16)).isEqualTo(60);

        Assertions.assertThat(AsmUtils.getMajorVersion(Opcodes.V16 | Opcodes.V_PREVIEW)).isEqualTo(60);
    }",1
"(int version, int majorVersion)","public class SetMajorVersion {
public static int setMajorVersion(int version, int majorVersion) {
        return (version & 0xFFFF0000) | majorVersion;
    }
}","@Test
    public void testSetMajorVersion() throws Exception {
        int version = Opcodes.V16 | Opcodes.V_PREVIEW;
        int newVersion = AsmUtils.setMajorVersion(version, 58);

        AsmUtils.getMajorVersion(newVersion);

        Assertions.assertThat(AsmUtils.getMajorVersion(newVersion)).isEqualTo(58);
    }",1
( int SpacesCount ),"public class GetSpaces {
public static String getSpaces( int SpacesCount ) {
		//
		if ( SpacesCount < 0 ) return ""?"";
		//
		String Info = """";
		//
		for ( int K = 1; K <= SpacesCount; K ++ ) {
			Info += "" "";
		}
		//
		//
		return Info;
	}
}","@Test
	public void testgetSpaces() throws Exception {
		//
		assertEquals( ""?"", BTools.getSpaces( -3 ) );
		assertEquals( """", BTools.getSpaces( 0 ) );
		assertEquals( ""    "", BTools.getSpaces( 4 ) );
		//
	}",3
( int mtLv ),"public class GetMtLvESS {
public static String getMtLvESS( int mtLv ) {
		//  MtLvESS = Method Level External Shift String 
		//
		if ( mtLv < 0 ) return ""?"";
		//
		String Result = """";
		//
	//	String LvS = "". "";
		String LvS = ""."";
		//
		for ( int K = 1; K <= mtLv; K ++ ) {
			//
			Result = Result + LvS;
		}
		//
		return Result;
	}
}","@Test
	public void testgetMtLvESS() throws Exception {
		//
		assertEquals( ""?"", BTools.getMtLvESS( -5 ) );
		assertEquals( """", BTools.getMtLvESS( 0 ) );
		assertEquals( ""..."", BTools.getMtLvESS( 3 ) );
		//
	}",3
( int MaxIndex ),"public class GetIndexCharsCount {
public static int getIndexCharsCount( int MaxIndex ) {
		//
		int CharsCount = 1;
		//
		if ( MaxIndex <= 0 ) return 1;
		//
		CharsCount = (int)Math.log10( MaxIndex ) + 1;
		//
		return CharsCount;
	}
}","@Test
	public void testgetIndexCharsCount() throws Exception {
		//
		assertEquals( 1, BTools.getIndexCharsCount( -5 ) );
		assertEquals( 1, BTools.getIndexCharsCount( 5 ) );
		assertEquals( 3, BTools.getIndexCharsCount( 345 ) );
		//
	}",2
(boolean b),"public class CheckState {
public static void checkState(boolean b) {
        if (!b) {
            throw new IllegalStateException();
        }
    }
}","@Test
    public void testPreconditionsState(){

        Preconditions.checkState(true);
        try{
            Preconditions.checkState(false);
        } catch (IllegalStateException e){
            assertNull(e.getMessage());
        }

        Preconditions.checkState(true, ""Message %s here"", 10);
        try{
            Preconditions.checkState(false, ""Message %s here"", 10);
        } catch (IllegalStateException e){
            assertEquals(""Message 10 here"", e.getMessage());
        }

        Preconditions.checkState(true, ""Message %s here %s there"", 10, 20);
        try{
            Preconditions.checkState(false, ""Message %s here %s there"", 10, 20);
        } catch (IllegalStateException e){
            assertEquals(""Message 10 here 20 there"", e.getMessage());
        }

        Preconditions.checkState(true, ""Message %s here %s there %s more"", 10, 20, 30);
        try{
            Preconditions.checkState(false, ""Message %s here %s there %s more"", 10, 20, 30);
        } catch (IllegalStateException e){
            assertEquals(""Message 10 here 20 there 30 more"", e.getMessage());
        }

        Preconditions.checkState(true, ""Message %s here"", 10L);
        try{
            Preconditions.checkState(false, ""Message %s here"", 10L);
        } catch (IllegalStateException e){
            assertEquals(""Message 10 here"", e.getMessage());
        }

        Preconditions.checkState(true, ""Message %s here %s there"", 10L, 20L);
        try{
            Preconditions.checkState(false, ""Message %s here %s there"", 10L, 20L);
        } catch (IllegalStateException e){
            assertEquals(""Message 10 here 20 there"", e.getMessage());
        }

        Preconditions.checkState(true, ""Message %s here %s there %s more"", 10L, 20L, 30L);
        try{
            Preconditions.checkState(false, ""Message %s here %s there %s more"", 10L, 20L, 30L);
        } catch (IllegalStateException e){
            assertEquals(""Message 10 here 20 there 30 more"", e.getMessage());
        }

        Preconditions.checkState(true, ""Message %s here %s there %s more"", ""A"", ""B"", ""C"");
        try{
            Preconditions.checkState(false, ""Message %s here %s there %s more"", ""A"", ""B"", ""C"");
        } catch (IllegalStateException e){
            assertEquals(""Message A here B there C more"", e.getMessage());
        }
    }",2
