Parameter,Function,Test Case,cyclomatic_complexity
"(int value, int min, int max, int defaultValue)","public class CheckInt {
int checkInt(int value, int min, int max, int defaultValue) {
    if (value >= min && value <= max) {
      return value;
    }
    return defaultValue;
  }
}","@Test
  public void testCheckInt() throws Exception {
    int someInvalidValue = 1;
    int anotherInvalidValue = 2;
    int someValidValue = 3;
    int someDefaultValue = 10;

    int someMin = someInvalidValue + 1;
    int someMax = anotherInvalidValue - 1;

    assertEquals(someDefaultValue, bizConfig.checkInt(someInvalidValue, someMin, Integer.MAX_VALUE, someDefaultValue));
    assertEquals(someDefaultValue, bizConfig.checkInt(anotherInvalidValue, Integer.MIN_VALUE, someMax,
        someDefaultValue));
    assertEquals(someValidValue, bizConfig.checkInt(someValidValue, Integer.MIN_VALUE, Integer.MAX_VALUE,
        someDefaultValue));
  }",3
(long tweet),"public class Tweet {
public static long tweet(long tweet) {
    return tweet;
  }
}","@Test
  public void testTweet() {
    assertEquals(1048L, TweetIDMask.tweet(1048L));
  }",1
"(int colourValue, int colourDistance)","public class UpdateColourValue {
static int updateColourValue(int colourValue, int colourDistance) {
        if (colourDistance < 0) {
            return colourValue + 1;
        } else if (colourDistance > 0) {
            return colourValue - 1;
        } else {
            // This shouldn't actually happen here.
            return colourValue;
        }
    }
}","@Test
    public void updateColourValue() {
        assertThat(ColourGradient.updateColourValue(3, 255), is(2));
        assertThat(ColourGradient.updateColourValue(3, -255), is(4));
        assertThat(ColourGradient.updateColourValue(3, 0), is(3));
    }",3
"(int fromRangeMin, int fromRangeMax, int toRangeMin,
      int toRangeMax, int fromRangeValue)","public class GetIntValueInRange {
public static int getIntValueInRange(int fromRangeMin, int fromRangeMax, int toRangeMin,
      int toRangeMax, int fromRangeValue) {
    int oldRange = (fromRangeMax - fromRangeMin);
    int newRange = (toRangeMax - toRangeMin);
    return (((fromRangeValue - fromRangeMin) * newRange) / oldRange) + toRangeMin;
  }
}","@Test
  public void theValue50InTheOldRangeMustBe100OnTheNewRange(){
    int fromMin = 0;
    int fromMax = 100;
    int toMin = 0;
    int toMax = 200;

    int result = RangeUtils.getIntValueInRange(fromMin, fromMax, toMin, toMax, 50);

    Assert.assertTrue(result == 100);
  }",1
(boolean bool),"public class BoolToInt {
public static int boolToInt (boolean bool) {
        return bool ? 1 : 0;
    }
}","@Test
    public void testBoolToInt () {
        assertEquals(Tools.boolToInt(true), 1);
        assertEquals(Tools.boolToInt(false), 0);
    }",1
(int i),"public class IntToBool {
public static boolean intToBool (int i) {
        return !(i == 0);
    }
}","@Test
    public void testIntToBool () {
        assertEquals(Tools.intToBool(1), true);
        assertEquals(Tools.intToBool(0), false);
        assertEquals(Tools.intToBool(2), true);
        assertEquals(Tools.intToBool(3), true);
    }",1
(int var1),"public class Norm {
public static short norm(int var1) throws ArithmeticException
    {
    	if(var1==0)
    		throw new ArithmeticException(""Value can not be 0"");
    	    	
    	int currValue=var1;    	
    	if(var1<0)
    	{
    		if(var1<=0xC0000000)
    			return 0;
    		    		
    		currValue=~(var1-1);
    	}
    	
    	short count=-1;
    	//check 16 bits sequence
    	if(currValue>>16!=0)
    		currValue=currValue>>16;
    	else
    		count+=16;
    	
    	//check 8 bits sequence
    	if(currValue>>8!=0)
    		currValue=currValue>>8;
    	else
    		count+=8;
    	
    	//check 4 bits sequence
    	if(currValue>>4!=0)
    		currValue=currValue>>4;
    	else
    		count+=4;
    	
    	//check 2 bits sequence
    	if(currValue>>2!=0)
    		currValue=currValue>>2;
    	else
    		count+=2;
    	
    	//check 1 bits sequence
    	if(currValue>>1==0)
    		count+=1;
    	
    	return count;
    }
}","@Test
    public void testNorm() {    
    	//positive values
    	assertEquals(0, BasicFunctions.norm(0x40000000));

        assertEquals(8, BasicFunctions.norm(0x00400000));
        
        assertEquals(17, BasicFunctions.norm(0x00002000));
        
        assertEquals(26, BasicFunctions.norm(0x00000010));
        
        //negative values
        assertEquals(2, BasicFunctions.norm(0xF0000000));

        assertEquals(7, BasicFunctions.norm(0xFF800000));
        
        assertEquals(16, BasicFunctions.norm(0xFFFFC000));
        
        assertEquals(25, BasicFunctions.norm(0xFFFFFFE0));
    }",9
(int byteCnt),"public class OctetsToSeptets {
public static int octetsToSeptets(int byteCnt) {
        int septCnt = (byteCnt * 8 - 1) / 7 + 1;
        return septCnt;
    }
}","@Test(groups = { ""functional.decode"", ""datacoding"" })
    public void testDecode() throws Exception {
        int octetOffset = 8;
        int septetOffset = GSMCharset.octetsToSeptets(octetOffset);

        this.doTestDecode(""123456\r"", new byte[] { 49, -39, -116, 86, -77, 53, 26 }, Gsm7EncodingStyle.bit7_ussd_style, 0, 0);
        this.doTestDecode(""1\r"", new byte[] { -79, 6 }, Gsm7EncodingStyle.bit7_ussd_style, 0, 0);
        this.doTestDecode(""1"", new byte[] { 49 }, Gsm7EncodingStyle.bit7_ussd_style, 0, 0);

        this.doTestDecode(""1234567"", new byte[] { 49, -39, -116, 86, -77, -35, 26 }, Gsm7EncodingStyle.bit7_ussd_style, 0, 0);
        this.doTestDecode(""1234567\r\r"", new byte[] { 49, -39, -116, 86, -77, -35, 26, 13 }, Gsm7EncodingStyle.bit7_ussd_style,
                0, 0);
        this.doTestDecode(""1234567"", new byte[] { 49, -39, -116, 86, -77, -35, 0 }, Gsm7EncodingStyle.bit7_sms_style, 7, 0);
        this.doTestDecode(""1234567\r"", new byte[] { 49, -39, -116, 86, -77, -35, 26 }, Gsm7EncodingStyle.bit7_sms_style, 8, 0);

        // This raw data is from nad1053.pcap, 2nd packet.
        this.doTestDecode(""*125*+31628839999#"", new byte[] { (byte) 0xaa, (byte) 0x98, (byte) 0xac, (byte) 0xa6, 0x5a,
                (byte) 0xcd, 0x62, 0x36, 0x19, 0x0e, 0x37, (byte) 0xcb, (byte) 0xe5, 0x72, (byte) 0xb9, 0x11 },
                Gsm7EncodingStyle.bit7_ussd_style, 0, 0);
        // This raw data is from nad1053.pcap, last packet.
        this.doTestDecode(""You don t have enough credit to call this number. "", new byte[] { (byte) 0xd9, (byte) 0x77, 0x1d,
                0x44, (byte) 0x7e, (byte) 0xbb, 0x41, 0x74, 0x10, 0x3a, 0x6c, 0x2f, (byte) 0x83, (byte) 0xca, (byte) 0xee,
                0x77, (byte) 0xfd, (byte) 0x8c, 0x06, (byte) 0x8d, (byte) 0xe5, 0x65, 0x72, (byte) 0x9a, 0x0e, (byte) 0xa2,
                (byte) 0xbf, 0x41, (byte) 0xe3, 0x30, (byte) 0x9b, 0x0d, (byte) 0xa2, (byte) 0xa3, (byte) 0xd3, 0x73,
                (byte) 0x90, (byte) 0xbb, (byte) 0xde, 0x16, (byte) 0x97, (byte) 0xe5, 0x2e, 0x10 },
                Gsm7EncodingStyle.bit7_ussd_style, 0, 0);
        // The USSD String represented by above raw data
        this.doTestDecode(""ndmgapp2ndmgapp2"", new byte[] { 0x6e, 0x72, (byte) 0xfb, 0x1c, (byte) 0x86, (byte) 0xc3, 0x65, 0x6e,
                0x72, (byte) 0xfb, 0x1c, (byte) 0x86, (byte) 0xc3, 0x65 }, Gsm7EncodingStyle.bit7_ussd_style, 0, 0);
        this.doTestDecode(""*88#"", new byte[] { 0x2a, 0x1c, 0x6e, (byte) 0xd4 }, Gsm7EncodingStyle.bit7_ussd_style, 0, 0);

        this.doTestDecode(""[88]"", new byte[] { 27, 30, 14, -73, -15, 1 }, Gsm7EncodingStyle.bit7_sms_style, 6, 0);
        this.doTestDecode(""[88]"", new byte[] { 1, 2, 3, 4, 5, 6, 7, 8, -64, -122, -121, -61, 109, 124 },
                Gsm7EncodingStyle.bit7_sms_style, 16, septetOffset);

        this.doTestDecode(""Hell"", new byte[] { 1, 2, 3, 4, 5, 6, 7, 8, 0, -78, -52, 102, 3 }, Gsm7EncodingStyle.bit7_sms_style, 14, septetOffset);

        this.doTestDecode(""Hell"", new byte[] { 72, 101, 108, 108 }, Gsm7EncodingStyle.bit8_smpp_style, 0, 0);
        this.doTestDecode(""Hell"", new byte[] { 1, 2, 3, 4, 5, 6, 7, 8, 72, 101, 108, 108 }, Gsm7EncodingStyle.bit8_smpp_style, 0, octetOffset);
        this.doTestDecode(""[88]"", new byte[] { 27, 60, 56, 56, 27, 62 }, Gsm7EncodingStyle.bit8_smpp_style, 0, 0);
        this.doTestDecode(""[88]"", new byte[] { 1, 2, 3, 4, 5, 6, 7, 8, 27, 60, 56, 56, 27, 62 },
                Gsm7EncodingStyle.bit8_smpp_style, 0, octetOffset);

        this.doTestDecode(""He l"", new byte[] { 72, 101, (byte) 200, 108 }, Gsm7EncodingStyle.bit8_smpp_style, 0, 0);
    }",1
(int signedInt),"public class ConvertSignedIntToUnsigned {
public static long convertSignedIntToUnsigned(int signedInt) {
	return signedInt & 0x00000000ffffffffL;
}
}","@Test
  public void convertSignedIntToUnsigned() {
    long unsignedint = BitcoinUtil.convertSignedIntToUnsigned(-1);
    assertEquals( 4294967295L,unsignedint,""-1 from signed int must be 4294967295L unsigned"");
  }",1
(long arg),"public class TryAcquire {
protected boolean tryAcquire(long arg) {
        throw new UnsupportedOperationException();
    }
}","@Test
    public void testTryAcquire() {
        Mutex sync = new Mutex();
        assertTrue(sync.tryAcquire());
        assertTrue(sync.isHeldExclusively());
        sync.release();
        assertFalse(sync.isHeldExclusively());
    }",1
"(short crcValue, byte data)","public class Calculate {
public static short calculate(short crcValue, byte data) {
      short x = (short) (((crcValue >>> 8) ^ data) & 0xff);
      x ^= (x >>> 4);
      return (short) ((crcValue << 8) ^ (x << 12) ^ (x << 5) ^ x);
    }
}","@Test
    public void testCalculateByteArray() throws Exception {
        // According http://reveng.sourceforge.net/crc-catalogue/legend.htm (see ""Appendix"")
        assertEquals(0x29b1, Crc16.calculate(""123456789"".getBytes(""UTF-8"")));
    }",1
"(double x,double y)","public class ComputeAngle {
static float computeAngle (double x,double y) {
        double theta = Math.atan2(y,x) ;
        //the result from atan2 goes from pi to -pi
        if (theta<0){
            theta=2*Math.PI+theta;
        }
        //now return the value in degrees
        return (float)( (theta * 180 / Math.PI) % 360);
    }
}","@Test
    public void computeAngle(){
        //having an accelerometer reading of x = 1.0 y= 0.0
        //should give us 0 as angle

        double angle = RobotController.computeAngle(1.0,0.);
        assertEquals(""(1,0) is 0 deg"",angle,0.,0.);

        angle = RobotController.computeAngle(0,1.);
        assertEquals(""(0,1) is 270 deg"",angle,90.,0.);
        angle = RobotController.computeAngle(-1,.0);
        assertEquals(""(-1,0) is 180 deg"",angle,180.,0.);

        angle = RobotController.computeAngle(0,-1.);
        assertEquals(""For (0,-1) the angle is 90."",angle,270.,0.);

    }",2
(long latency),"public class Pause {
public void pause(long latency) {
        try {
            Thread.sleep(latency);
        } catch (InterruptedException e) {
            e.printStackTrace();
        }
    }
}","@Test
    public void testPause() throws InterruptedException {
        PowerMockito.mockStatic(Thread.class);
        PowerMockito.doNothing().when(Thread.class);
        clock.pause(10000L);
        PowerMockito.verifyStatic();
    }",2
(int n),"public class IsPowerOfTwo {
public boolean isPowerOfTwo(int n) {
        return false;
    }
}","@Test
    public void testIsPowerOfTwo() {
        int[] nums = new int[] {0, 2, -4, 11, 16, -6};
        boolean[] result = {false, true, false, false, true, false};
        for (int i = 0; i < nums.length; i++) {
            Assert.assertEquals(result[i], testObjects[0].isPowerOfTwo(nums[i]));
            Assert.assertEquals(result[i], testObjects[1].isPowerOfTwo(nums[i]));
        }
    }",1
(int n),"public class IsHappy {
public boolean isHappy(int n) {
        return false;
    }
}","@Test
    public void testAll() {
        for (int i = 0; i < nums.length; i++) {
            Assert.assertEquals(results[i], testObject.isHappy(nums[i]));
        }
    }",1
(int value),"public class MostSignificantBit {
static int mostSignificantBit(int value) {
        return 31 - Integer.numberOfLeadingZeros(value);
    }
}","@Test
    public void testMostSignificantBit() {
        // This test provides 100% coverage of the problem space (signed 32-bit integers)
        Assert.assertEquals(-1, AbstractSnatService.mostSignificantBit(0));
        for (int bit = 0; bit < 31; bit++) {
            for (int test = 1 << bit; test < 1 << (bit + 1); test++) {
                Assert.assertEquals(bit, AbstractSnatService.mostSignificantBit(test));
            }
        }
    }",1
"(int color, int alpha)","public class MultiplyColorAlpha {
public static int multiplyColorAlpha(int color, int alpha) {
    if (alpha == 255) {
      return color;
    }
    if (alpha == 0) {
      return color & 0x00FFFFFF;
    }
    alpha = alpha + (alpha >> 7); // make it 0..256
    int colorAlpha = color >>> 24;
    int multipliedAlpha = colorAlpha * alpha >> 8;
    return (multipliedAlpha << 24) | (color & 0x00FFFFFF);
  }
}","@Test
  public void testMultiplyColorAlpha() {
    assertEquals(0x00123456, ColorUtil.multiplyColorAlpha(0xC0123456, 0));
    assertEquals(0x07123456, ColorUtil.multiplyColorAlpha(0xC0123456, 10));
    assertEquals(0x96123456, ColorUtil.multiplyColorAlpha(0xC0123456, 200));
    assertEquals(0xC0123456, ColorUtil.multiplyColorAlpha(0xC0123456, 255));
  }",3
(int serverPort),"public class IsPort {
public static boolean isPort(int serverPort) {
		return serverPort > 0 && serverPort <= 0xFFFF;
	}
}","@Test
	public void testisPort() {
		assertTrue(ServerUtil.isPort(8080));
		assertTrue(ServerUtil.isPort(80));
		assertFalse(ServerUtil.isPort(-1));
		assertFalse(ServerUtil.isPort(65536));
	}",2
(int serverPort),"public class IsSocketPort {
public static boolean isSocketPort(int serverPort) {
		return serverPort > 0x400 && serverPort <= 0xFFFF;
	}
}","@Test
	public void testIsSocketPort() {
		assertTrue(ServerUtil.isSocketPort(8080));
		assertFalse(ServerUtil.isSocketPort(80));
		assertFalse(ServerUtil.isSocketPort(-1));
		assertFalse(ServerUtil.isSocketPort(65536));
	}",2
(int originValue),"public class GetNonNegative {
public static int getNonNegative(int originValue){
        return 0x7fffffff & originValue;
    }
}","@Test
    public void getNonNegative() {

        assertTrue(MathUtil.getNonNegative(Integer.MIN_VALUE)==0);
        assertTrue(MathUtil.getNonNegative(-1)>0);

        assertTrue(MathUtil.getNonNegative(0)==0);
        assertTrue(MathUtil.getNonNegative(1)==1);
        assertTrue(MathUtil.getNonNegative(Integer.MAX_VALUE)==Integer.MAX_VALUE);

    }",1
(boolean dynamicWorkflow),"public class SetDynamicWorkflow {
public void setDynamicWorkflow(boolean dynamicWorkflow) {
        throw new UnsupportedOperationException(""DynamicWorkflow is currently not supported."");
    }
}","@Test(expected = UnsupportedOperationException.class)
    public void testSetDynamicWorkflow() {
        assertTrue(delegate.isDynamicWorkflow() == null);
        delegate.setDynamicWorkflow(true);
        assertTrue(delegate.isDynamicWorkflow());
    }",1
(boolean sampleable),"public class ConvertSampleableBooleanToExpectedB3Value {
public static String convertSampleableBooleanToExpectedB3Value(boolean sampleable) {
        return (sampleable) ? ""1"" : ""0"";
    }
}","@DataProvider(value = {
        ""true"",
        ""false""
    })
    @Test
    public void convertSampleableBooleanToExpectedB3Value_works_as_expected(boolean sampleable) {
        // given
        String expectedResult = (sampleable) ? ""1"" : ""0"";

        // when
        String result = convertSampleableBooleanToExpectedB3Value(sampleable);

        // then
        assertThat(result).isEqualTo(expectedResult);
    }",1
(int n),"public class Ordinalize {
public static String ordinalize(int n) {
    int mod100 = n % 100;
    if (mod100 == 11 || mod100 == 12 || mod100 == 13) {
      return String.valueOf(n) + ""th"";
    }
    switch (n % 10) {
      case 1:
        return String.valueOf(n) + ""st"";
      case 2:
        return String.valueOf(n) + ""nd"";
      case 3:
        return String.valueOf(n) + ""rd"";
      default:
        return String.valueOf(n) + ""th"";
    }
  }
}","@Test
  public void testOrdinal() {
    for (Map.Entry<Integer, String> entry : ordinalNumbers_.entrySet()) {
      assertEquals(entry.getValue(), Strings.ordinalize(entry.getKey()));
      assertEquals(entry.getValue(), Strings.ordinalize(entry.getKey()));
    }
  }",5
"(double a, double b)","public class Sub {
public double sub(double a, double b){
        return a-b;
    }
}","@Test
    public void testSub() {
        Assert.assertEquals(-5.0, aCalculator.sub(10.0, 15.0), 0.01);
        try {
            Thread.sleep(500*1/2);
        } catch (InterruptedException e) {
            e.printStackTrace();
        }
        i++;
    }",1
"(double a, double b)","public class Add {
public double add(double a, double b) {
        return a + b;
    }
}","@Test
    public void addition(){
        Assert.assertEquals(25.0, aCalculator.add(10.0,15.0), 0.01);
    }",1
(long bytes),"public class FormatMemory {
public static String formatMemory(long bytes) {
        return Long.toString(bytes);
    }
}","@Test
    public void testFormatMemory() {
        assertThat(formatMemory(0), is(""0""));
        assertThat(formatMemory(1), is(""1""));
        assertThat(formatMemory(1023), is(""1023""));
        assertThat(formatMemory(1024), is(""1024""));
        assertThat(formatMemory(1000), is(""1000""));
        assertThat(formatMemory(2048), is(""2048""));
        assertThat(formatMemory(2000), is(""2000""));
        assertThat(formatMemory(2048 * 1024), is(""2097152""));
        assertThat(formatMemory(2048 * 2000), is(""4096000""));
        assertThat(formatMemory(2000 * 2000), is(""4000000""));
        assertThat(formatMemory(1_000_000_000_000_000L), is(""1000000000000000""));
        assertThat(formatMemory(1_000_000_000_000_000_000L), is(""1000000000000000000""));
        assertThat(formatMemory(parseMemory(""1Ei"")), is(""1125899906842624""));
        assertThat(formatMemory(parseMemory(""1024Ei"")), is(""1152921504606846976""));
        assertThat(formatMemory(524288000L), is(""524288000""));
    }",1
(int milliCpu),"public class FormatMilliCpu {
public static String formatMilliCpu(int milliCpu) {
        if (milliCpu % 1000 == 0) {
            return Long.toString(milliCpu / 1000L);
        } else {
            return Long.toString(milliCpu) + ""m"";
        }
    }
}","@Test
    public void testFormat() {
        assertThat(formatMilliCpu(1000), is(""1""));
        assertThat(formatMilliCpu(500), is(""500m""));
        assertThat(formatMilliCpu(1), is(""1m""));
    }",2
"(int actualWidth, int actualHeight, int desiredWidth, int desiredHeight)","public class FindBestSampleSize {
static int findBestSampleSize(int actualWidth, int actualHeight, int desiredWidth, int desiredHeight) {
        double wr = (double) actualWidth / desiredWidth;
        double hr = (double) actualHeight / desiredHeight;
        double ratio = Math.min(wr, hr);
        float n = 1.0f;
        while ((n * 2) <= ratio) {
            n *= 2;
        }

        return (int) n;
    }
}","@Test public void findBestSampleSize() {
        // desired == actual == 1
        assertEquals(1, ImageRequest.findBestSampleSize(100, 150, 100, 150));

        // exactly half == 2
        assertEquals(2, ImageRequest.findBestSampleSize(280, 160, 140, 80));

        // just over half == 1
        assertEquals(1, ImageRequest.findBestSampleSize(1000, 800, 501, 401));

        // just under 1/4 == 4
        assertEquals(4, ImageRequest.findBestSampleSize(100, 200, 24, 50));
    }",2
"(int op1, int op2)","public class Add {
public int add(int op1, int op2){
        ////Dummy plugin method
        return op1 + op2;
    }
}","@Test
    public void testAdd() throws Exception {
        //Dummy Test case for plugin method
        MyPlugin plugin = TestUtils.newInstance(MyPlugin.class, ""pluginId"");
        assertEquals(3, plugin.add(1, 2));
        assertEquals(-1, plugin.add(1, -2));
    }",1
(int id),"public class EncodeInt {
public static byte[] encodeInt(int id) {

		byte[] bytes = new byte[2];
		bytes[0] = (byte)(id&0x00ff);
		bytes[1] = (byte)((id&0xff00)>>8);
		return bytes;
	}
}","@Test
	public void twoBytes() {
		int m = 0x01ff;
		byte[] mBytes = UnsignedUtil.encodeInt(m);
		byte[] mBytesBigEndian = reverse (mBytes);
		BigInteger big = new BigInteger(mBytesBigEndian);
		assertTrue (big.intValue() == m);	
		assertTrue(mBytes[0]==-1);
		assertTrue(mBytes[1]==0x01);
	}",1
(int color),"public class Rgb {
private static double[] rgb(int color) {
        int r = (color >> 16) & 0xFF;
        int g = (color >>  8) & 0xFF;
        int b = (color >>  0) & 0xFF;
        return new double[] { r / 255.0, g / 255.0, b / 255.0 };
    }
}","@Test
    public void testRgb() {
        assertEquals(2, Colors.roundRgbColor(0, 128, 0, 16));
    }",1
(long millis),"public class ThreadSleep {
public static void threadSleep(long millis) {
        try {
            Thread.sleep(millis);
        } catch (InterruptedException e) {
            // we simply ignore if sleep was interrupted
        }
    }
}","@Test
    public void threadSleepTest() {
        // GIVEN
        final long testStart = System.currentTimeMillis();
        final long requestedSleepDuration = 85L;
        final long measuringMargin = 100L;

        // WHEN
        WearUtil.threadSleep(requestedSleepDuration);
        final long measuredSleepDuration = System.currentTimeMillis() - testStart;

        // THEN
        // we cannot guarantee to be exact to the millisecond - we add some margin of error
        assertThat(measuredSleepDuration, is(both(greaterThan(60L)).and(lessThan(requestedSleepDuration+measuringMargin))));
    }",2
(boolean enabled),"public class SetEnabledForDebuggableBuild {
public static void setEnabledForDebuggableBuild(boolean enabled) {
    }
}","@Test
    public void setEnabledForDebuggableBuildTest() {
        Distribute.setEnabledForDebuggableBuild(true);
    }",1
"(int address, byte value, long length)","public class Memset {
public native void memset(int address, byte value, long length);
}","@TestTargetNew(
        level = TestLevel.PARTIAL_COMPLETE,
        notes = """",
        method = ""memset"",
        args = {}
    )
    public void testMemset() {
        IMemorySystem memory = Platform.getMemorySystem();
        
        int byteCount = 32;
        int ptr = memory.malloc(byteCount);
        try {
            // Ensure our newly-allocated block isn't zeroed.
            memory.setByte(ptr, (byte) 1);
            assertEquals((byte) 1, memory.getByte(ptr));
            // Check that we can clear memory.
            memory.memset(ptr, (byte) 0, byteCount);
            assertBytesEqual((byte) 0, ptr, byteCount);
            // Check that we can set an arbitrary value.
            memory.memset(ptr, (byte) 1, byteCount);
            assertBytesEqual((byte) 1, ptr, byteCount);
        } finally {
            memory.free(ptr);
        }
    }",1
"(int page, int perPage, int totalEntries)","public class FromIndex {
int fromIndex(int page, int perPage, int totalEntries) {
        // invalid parameters
        if (page <= 0 || perPage <= 0 || totalEntries < 0) {
            return 0;
        }
        // impossible pages
        if ((page - 1) * perPage >= totalEntries) {
            return 0;
        }
        // valid and possible pages
        return (page - 1) * perPage;
    }
}","@Test
    public void testFromIndex() throws Exception {
        PaginationHelper paginationHelper = new PaginationHelper<>(null, null);
        // invalid: just return 0
        // parameters
        assertEquals(0, paginationHelper.fromIndex(0, 1, 2));
        assertEquals(0, paginationHelper.fromIndex(1, 0, 2));
        assertEquals(0, paginationHelper.fromIndex(-1, 1, 2));
        assertEquals(0, paginationHelper.fromIndex(1, -1, 2));
        assertEquals(0, paginationHelper.fromIndex(1, 1, -1));
        // impossible pages
        assertEquals(0, paginationHelper.fromIndex(20, 10, 5));
        assertEquals(0, paginationHelper.fromIndex(2, 10, 10));
        assertEquals(0, paginationHelper.fromIndex(2, 100, 100));

        // valid
        assertEquals(0, paginationHelper.fromIndex(1, 10, 2));
        assertEquals(10, paginationHelper.fromIndex(2, 10, 11));
        assertEquals(264, paginationHelper.fromIndex(23, 12, 1230));
    }",5
"(int page, int perPage, int totalEntries)","public class ToIndex {
int toIndex(int page, int perPage, int totalEntries) {
        // invalid parameters
        if (page <= 0 || perPage <= 0 || totalEntries < 0) {
            return 0;
        }
        // behind the limited range
        if ((page - 1) * perPage >= totalEntries) {
            return 0;
        }
        // valid and possible pages
        return perPage * page < totalEntries ? perPage * page : totalEntries;
    }
}","@Test
    public void testToIndex() throws Exception {
        PaginationHelper paginationHelper = new PaginationHelper<>(null, null);
        // invalid: just return 0
        // parameters
        assertEquals(0, paginationHelper.toIndex(0, 1, 2));
        assertEquals(0, paginationHelper.toIndex(1, 0, 2));
        assertEquals(0, paginationHelper.toIndex(-1, 1, 2));
        assertEquals(0, paginationHelper.toIndex(1, -1, 2));
        assertEquals(0, paginationHelper.toIndex(1, 1, -1));
        // impossible pages
        assertEquals(0, paginationHelper.toIndex(20, 10, 5));
        assertEquals(0, paginationHelper.toIndex(2, 10, 10));
        assertEquals(0, paginationHelper.toIndex(2, 100, 100));

        // valid
        assertEquals(2, paginationHelper.toIndex(1, 10, 2));
        assertEquals(11, paginationHelper.toIndex(2, 10, 11));
        assertEquals(276, paginationHelper.toIndex(23, 12, 1230));
    }",5
(int number),"public class Fibonacci {
public long fibonacci(int number) {
        if (number <= 1) {
            return number;
        }
        return fibonacci(number - 1) + fibonacci(number - 2);
    }
}","@Test
    public void fibonacciTest() {
        //subject under test is created.
        Fibonacci fibonacci = new Fibonacci();

        //and, the helping values holder is created.
        long[] fibonaccies = new long[10];

        // method fibonacci is called
        for(int i = 0; i < 10; i++){
            fibonaccies[i] = fibonacci.fibonacci(i);
        }

        //expected result is returned.
        Assert.assertEquals(0, fibonaccies[0]);
        Assert.assertEquals(1, fibonaccies[1]);
        Assert.assertEquals(1, fibonaccies[2]);
        Assert.assertEquals(2, fibonaccies[3]);
        Assert.assertEquals(3, fibonaccies[4]);
        Assert.assertEquals(5, fibonaccies[5]);
        Assert.assertEquals(8, fibonaccies[6]);
        Assert.assertEquals(13, fibonaccies[7]);
        Assert.assertEquals(21, fibonaccies[8]);
        Assert.assertEquals(34, fibonaccies[9]);
    }",2
(int number),"public class Factorial {
public long factorial(int number) {
        if (number <= 1) {
            return 1;
        }
        return number * factorial(number - 1);
    }
}","@Test
    public void testFactorial() {
        //Factorial object is created
        Factorial factorial = new Factorial();

        //factorial method is called
        long factorial_from_0 = factorial.factorial(0);
        long factorial_from_1 = factorial.factorial(1);
        long factorial_from_5 = factorial.factorial(5);
        long factorial_from_10 = factorial.factorial(10);

        //expected result is returned
        assertEquals(1, factorial_from_0);
        assertEquals(1, factorial_from_1);
        assertEquals(120, factorial_from_5);
        assertEquals(3628800, factorial_from_10);
    }",2
"(short x, short y)","public class MakeInt {
public static int makeInt(short x, short y) {
        return (x << 16) | (y & 0xFFFF);
    }
}","@Test
    public void testMakeInt() throws Exception {
        for (short x = Short.MIN_VALUE; x < Short.MAX_VALUE; x++) {
            for (short y = Short.MIN_VALUE; y < Short.MAX_VALUE; y++) {
                //System.out.println("" :: "" + y);
                short[] result = IntegerTools.getShorts(IntegerTools.makeInt(x,y));
                assert result[0] == x;
                assert result[1] == y;
            }
        }
    }",1
"(int one, int another)","public class Divide {
public int divide(int one, int another) {
        if (another == 0)
            throw new IllegalArgumentException(""Dividor cannot be 0"");
        return one / another;
    }
}","@Test(expected = IllegalArgumentException.class)
    public void testDivide() {
        mCalculator.divide(5, 0);
    }",2
"(int one, int another)","public class Sub {
public int sub(int one, int another) {
        return 0;
    }
}","@Test
    @Ignore(""not test"")
    public void testSub() {
        mCalculator.sub(6, 5);
    }",1
(long segmentId),"public class GetEpoch {
public static int getEpoch(long segmentId) {
        return (int) (segmentId >> 32);
    }
}","@Test
    public void testGetEpoch() {
        UUID txnId = UUID.fromString(""00000065-0000-000a-0000-000000000064"");
        assertEquals(101, NameUtils.getEpoch(txnId));
    }",1
"(double base, int exponent)","public class Pow {
static public double pow(double base, int exponent)
	{
		if (exponent ==  0) return 1;
		if (exponent ==  1) return base;
		if (exponent == -1) return 1/base;
		
		boolean negative;
		
		if (exponent < 0)
		{
			negative = true;
			exponent = -exponent;
		}
		else
			negative = false;
		
		double mod = (exponent%2 == 0) ? 1 : base;
		double p = base;
		
		exponent /= 2;
		
		while (exponent > 0)
		{
			p = p * p;
			exponent /= 2;
		}
		
		mod *= p;
		return negative ? 1/mod : mod;
	}
}","@Test
	public void testPow()
	{
		int i, j;
		
		for (j=-5; j<5; j++)
		{
			if (j == 0) continue;
			
			for (i=-5; i<5; i++)
			{
				assertEquals(Math.pow( 2, i), MathUtils.pow( 2, i), 0);
				assertEquals(Math.pow(-2, i), MathUtils.pow(-2, i), 0);
			}
		}
	}",6
