Parameter,Function,Test Case
(long leeway),"class isExpired {
public boolean isExpired(long leeway) {
        if (leeway < 0) {
            throw new IllegalArgumentException(""The leeway must be a positive value."");
        }
        long todayTime = (long) (Math.floor(new Date().getTime() / 1000) * 1000); //truncate millis
        Date futureToday = new Date(todayTime + leeway * 1000);
        Date pastToday = new Date(todayTime - leeway * 1000);
        boolean expValid = payload.exp == null || !pastToday.after(payload.exp);
        boolean iatValid = payload.iat == null || !futureToday.before(payload.iat);
        return !expValid || !iatValid;
    }
}","@Test
    public void shouldNotBeDeemedExpiredByLeeway() {
        JWT jwt = customTimeJWT(null, new Date().getTime() - 1000);
        assertThat(jwt.isExpired(2), is(false));
    }"
(int bitLength),"class readInt {
@Override
  public int readInt(int bitLength) {
    checkArgument(bitLength % 8 == 0, ""bitLength must be a multiple of 8"");
    int byteLength = bitLength / 8;
    ensureBytes(byteLength, () -> ""SSZ encoded data has insufficient length to read a "" + bitLength + ""-bit integer"");
    Bytes bytes = content.slice(index, byteLength);
    int zeroBytes = bytes.numberOfTrailingZeroBytes();
    if ((byteLength - zeroBytes) > 4) {
      throw new InvalidSSZTypeException(""decoded integer is too large for an int"");
    }
    index += byteLength;
    return bytes.slice(0, bytes.size() - zeroBytes).toInt(LITTLE_ENDIAN);
  }
}","@Test
  void shouldThrowWhenReadingOversizedInt() {
    InvalidSSZTypeException ex = assertThrows(InvalidSSZTypeException.class, () -> {
      SSZ.decode(fromHexString(""1122334455667788""), r -> r.readInt(64));
    });
    assertEquals(""decoded integer is too large for an int"", ex.getMessage());
  }"
(boolean isHealthy),"class update {
@Override
	public synchronized void update(boolean isHealthy) {
		if (currentState == null) {
			//first update received, pass it on
			adviseListeners(isHealthy);
			currentState = isHealthy;
		}
		else if (isHealthy != currentState) {
			if (++changesReceived >= requiredUpdateCount) {
				adviseListeners(isHealthy);
				currentState = isHealthy;
				changesReceived = 0;
			}

		}
		else {
			changesReceived = 0;
		}

	}
}","@Test
	public void testUpdateAfterListenersAdvised() {
		CountingHealthMonitorStrategy sut = new CountingHealthMonitorStrategy(3);
		final boolean[] result = new boolean[1];
		sut.registerListener(new HealthMonitorStrategyListener() {

			@Override
			public void onUpdate(boolean isHealthy) {
				result[0]= isHealthy;

			}
		});
		sut.update(true);
		Assert.assertEquals(true, result[0]);

		sut.update(false);
		Assert.assertEquals(true, result[0]);
		sut.update(false);
		Assert.assertEquals(true, result[0]);
		sut.update(false);
		Assert.assertEquals(false, result[0]);
		sut.update(true);
		Assert.assertEquals(false, result[0]);

	}"
(long expirationTime),"class startPunishment {
@VisibleForTesting
    public void startPunishment(long expirationTime) {
        if (!punishmentEnabled) {
            return;
        }

        try {
            rwlock.writeLock().lock();
            this.goodReputation = false;
            this.punishmentTime = expirationTime;
            this.punishmentCounter++;
            this.timeLostGoodReputation = System.currentTimeMillis();
        } finally {
            rwlock.writeLock().unlock();
        }
    }
}","@Test
    public void startPunishment() throws InterruptedException {
        PeerScoring scoring = new PeerScoring();

        Assert.assertEquals(0, scoring.getPunishmentTime());
        Assert.assertEquals(0, scoring.getPunishmentCounter());

        scoring.startPunishment(1000);

        Assert.assertEquals(1, scoring.getPunishmentCounter());
        Assert.assertFalse(scoring.hasGoodReputation());
        Assert.assertEquals(1000, scoring.getPunishmentTime());
        TimeUnit.MILLISECONDS.sleep(10);
        Assert.assertFalse(scoring.hasGoodReputation());
        TimeUnit.MILLISECONDS.sleep(2000);
        Assert.assertTrue(scoring.hasGoodReputation());
        Assert.assertEquals(1, scoring.getPunishmentCounter());
    }"
"(int intValue, boolean [] booleans)","class intToBooleans {
public static void intToBooleans(int intValue, boolean [] booleans)
    {
        Arrays.fill(booleans, false);
        for(int i =0; i < booleans.length; i++)
        {
            if(((intValue >> i) & 1) == 1)
            {
                booleans[i] = true;
            }
        }
    }
}","@Test
    public void intToBooleans_1(){
        int testInt = 1;
        boolean [] actual = new boolean[2];
        boolean [] expected = new boolean[] { true, false };

        Utility.intToBooleans(testInt, actual);

        for(int i = 0; i < actual.length; ++i) {
            Assert.assertEquals(actual[i], expected[i]);
        }
    }"
(int expectedElements),"class ensureCapacity {
@Override
  public void ensureCapacity(int expectedElements) {
    ensureBufferSpace(expectedElements - size());
  }
}","@Test
    public void testEnsureCapacity()
    {
        TightRandomResizingStrategy resizer = new TightRandomResizingStrategy();
        KTypeArrayDeque<KType> deque = new KTypeArrayDeque<>(0, resizer);

        // Add some elements.
        final int max = rarely() ? 0 : randomIntBetween(0, 1000);
        for (int i = 0; i < max; i++) {
          deque.addLast(cast(i));
        }

        final int additions = randomIntBetween(1, 5000);
        deque.ensureCapacity(additions + deque.size());
        final int before = resizer.growCalls;
        for (int i = 0; i < additions; i++) {
          if (randomBoolean()) { 
            deque.addLast(cast(i));
          } else {
            deque.addFirst(cast(i));
          }
        }
        assertEquals(before, resizer.growCalls);
    }"
"(int offset, int count)","class materialNewsBatchGet {
@Override
  public WxMpMaterialNewsBatchGetResult materialNewsBatchGet(int offset, int count) throws WxErrorException {
    String url = MATERIAL_API_URL_PREFIX + ""/batchget_material"";
    Map<String, Object> params = new HashMap<>();
    params.put(""type"", WxConsts.MATERIAL_NEWS);
    params.put(""offset"", offset);
    params.put(""count"", count);
    String responseText = this.wxMpService.post(url, WxGsonBuilder.create().toJson(params));
    WxError wxError = WxError.fromJson(responseText);
    if (wxError.getErrorCode() == 0) {
      return WxMpGsonBuilder.create().fromJson(responseText, WxMpMaterialNewsBatchGetResult.class);
    } else {
      throw new WxErrorException(wxError);
    }
  }
}","@Test(dependsOnMethods = {""testUpdateNewsInfo""})
  public void testMaterialNewsList() throws WxErrorException {
    WxMpMaterialNewsBatchGetResult wxMpMaterialNewsBatchGetResult = this.wxService.getMaterialService().materialNewsBatchGet(0, 20);
    assertNotNull(wxMpMaterialNewsBatchGetResult);
  }"
(long bytesWritten),"class onByteWritten {
@Override
    public void onByteWritten(long bytesWritten) {
        connDelegate.onByteWritten(bytesWritten);
    }
}","@Test(timeout = 60000)
    public void testOnByteWritten() throws Exception {
        rule.publisher.onByteWritten(1);

        rule.listener.assertMethodsCalled(Event.BytesWritten); // Test for Connection publisher should verify rest
    }"
(boolean proxyConnected),"class onProxyConnectionChange {
@Override
    public void onProxyConnectionChange(boolean proxyConnected) {
        mAlarmManager.cancel(notifyProxyStatusChangeIntent);

        // directly notify on connects, or if no delay is configured
        if (proxyConnected || mBtStateChangeDelayMs <= 0) {
            notifyProxyStatusChange();
        } else {
            mAlarmManager.setWindow(AlarmManager.ELAPSED_REALTIME_WAKEUP,
                    SystemClock.elapsedRealtime() + mBtStateChangeDelayMs,
                    MAX_ACCEPTABLE_DELAY_MS,
                    notifyProxyStatusChangeIntent);
        }
    }
}","@Test
    public void testProxyConnectionStateForwardingWithDelay() {
        reset(mockAlarmManager, mockWifiMediator, mockCellMediator);

        when(mockProxyNetworkAgent.isProxyConnected()).thenReturn(false);
        mController.onProxyConnectionChange(false);
        verify(mockAlarmManager).cancel(mController.notifyProxyStatusChangeIntent);
        verify(mockAlarmManager).setWindow(
                anyInt(), anyLong(), anyLong(), eq(mController.notifyProxyStatusChangeIntent));
        verifyNoMoreInteractions(mockWifiMediator);
        verifyNoMoreInteractions(mockCellMediator);

        reset(mockAlarmManager, mockWifiMediator, mockCellMediator);

        when(mockProxyNetworkAgent.isProxyConnected()).thenReturn(true);
        mController.onProxyConnectionChange(true);
        verify(mockAlarmManager).cancel(mController.notifyProxyStatusChangeIntent);
        verifyNoMoreInteractions(mockAlarmManager);
        verify(mockWifiMediator).updateProxyConnected(true);
        verify(mockCellMediator).updateProxyConnected(true);
    }"
(boolean proxyConnected),"class onProxyConnectionChange {
@Override
    public void onProxyConnectionChange(boolean proxyConnected) {
        mAlarmManager.cancel(notifyProxyStatusChangeIntent);

        // directly notify on connects, or if no delay is configured
        if (proxyConnected || mBtStateChangeDelayMs <= 0) {
            notifyProxyStatusChange();
        } else {
            mAlarmManager.setWindow(AlarmManager.ELAPSED_REALTIME_WAKEUP,
                    SystemClock.elapsedRealtime() + mBtStateChangeDelayMs,
                    MAX_ACCEPTABLE_DELAY_MS,
                    notifyProxyStatusChangeIntent);
        }
    }
}","@Test
    public void testProxyConnectionStateForwardingWithDelay() {
        reset(mockAlarmManager, mockWifiMediator, mockCellMediator);

        when(mockProxyNetworkAgent.isProxyConnected()).thenReturn(false);
        mController.onProxyConnectionChange(false);
        verify(mockAlarmManager).cancel(mController.notifyProxyStatusChangeIntent);
        verify(mockAlarmManager).setWindow(
                anyInt(), anyLong(), anyLong(), eq(mController.notifyProxyStatusChangeIntent));
        verifyNoMoreInteractions(mockWifiMediator);
        verifyNoMoreInteractions(mockCellMediator);

        reset(mockAlarmManager, mockWifiMediator, mockCellMediator);

        when(mockProxyNetworkAgent.isProxyConnected()).thenReturn(true);
        mController.onProxyConnectionChange(true);
        verify(mockAlarmManager).cancel(mController.notifyProxyStatusChangeIntent);
        verifyNoMoreInteractions(mockAlarmManager);
        verify(mockWifiMediator).updateProxyConnected(true);
        verify(mockCellMediator).updateProxyConnected(true);
    }"
"(int minInclusive, int maxInclusive)","class nextJobSchedulerIdWithRange {
public int nextJobSchedulerIdWithRange(int minInclusive, int maxInclusive) {
        synchronized (IdGenerator.class) {
            int id = nextId(NEXT_JOB_SCHEDULER_ID_KEY);
            if (id < minInclusive || id > maxInclusive) {
                // outside the range, re-start at minInclusive.
                id = minInclusive;
                update(NEXT_JOB_SCHEDULER_ID_KEY, id + 1);
            }
            return id;
        }
    }
}","@Test
    public void testNextId_returnsStoredNextId() {
        int expectedId = 100;
        storeNextIdInSharedPrefs(expectedId);
        int nextId = mIdGenerator.nextJobSchedulerIdWithRange(INITIAL_ID, MAX_VALUE);
        assertThat(nextId, is(expectedId));
    }"
(boolean isEnabled),"class withValidate {
BigtableConfig withValidate(boolean isEnabled) {
    return toBuilder().setValidate(isEnabled).build();
  }
}","@Test
  public void testWithValidate() {
    assertTrue(config.withValidate(true).getValidate());
  }"
(boolean allCaps),"class setAllCaps {
public void setAllCaps(boolean allCaps) {
        mHelper.setAllCaps(allCaps);
    }
}","@Test
    public void testSetAllCaps_withFalseDoesNotSetTransformationMethod() {
        mTextView.setTransformationMethod(null);
        mTextViewHelper.setAllCaps(false);
        assertNull(mTextView.getTransformationMethod());
    }"
"(int toLimit, boolean oneColumnMode)","class appendVisibleItems {
@Override
    protected final boolean appendVisibleItems(int toLimit, boolean oneColumnMode) {
        if (mProvider.getCount() == 0) {
            return false;
        }
        if (!oneColumnMode && checkAppendOverLimit(toLimit)) {
            // not in one column mode, return immediately if over limit
            return false;
        }
        boolean filledOne = false;
        for (int index = getStartIndexForAppend(); index < mProvider.getCount(); index++) {
            int size = mProvider.createItem(index, true, mTmpItem, false);
            int edge;
            if (mFirstVisibleIndex < 0 || mLastVisibleIndex< 0) {
                edge = mReversedFlow ? Integer.MAX_VALUE : Integer.MIN_VALUE;
                mLastVisibleIndex = mFirstVisibleIndex = index;
            } else {
                if (mReversedFlow) {
                    edge = mProvider.getEdge(index - 1) - mProvider.getSize(index - 1) - mSpacing;
                } else {
                    edge = mProvider.getEdge(index - 1) + mProvider.getSize(index - 1) + mSpacing;
                }
                mLastVisibleIndex = index;
            }
            mProvider.addItem(mTmpItem[0], index, size, 0, edge);
            filledOne = true;
            if (oneColumnMode || checkAppendOverLimit(toLimit)) {
                break;
            }
        }
        return filledOne;
    }
}","@Test
    public void testPrefetchBounds() {
        mProvider = new Provider(new int[]{100, 100});

        mSingleRow = new SingleRow();
        mSingleRow.setSpacing(20);
        mSingleRow.setProvider(mProvider);
        mSingleRow.appendVisibleItems(150);

        validatePrefetch(0, -10);
        validatePrefetch(-150, 10);
    }"
(boolean forceRefresh),"class getToken {
@NonNull
  @Override
  public Task<InstallationTokenResult> getToken(boolean forceRefresh) {
    preConditionChecks();
    Task<InstallationTokenResult> task = addGetAuthTokenListener();
    backgroundExecutor.execute(() -> doRegistrationOrRefresh(forceRefresh));
    return task;
  }
}","@Test
  public void testGetAuthToken_fidDoesNotExist_successful() throws Exception {
    when(mockBackend.createFirebaseInstallation(
            anyString(), anyString(), anyString(), anyString(), any()))
        .thenReturn(TEST_INSTALLATION_RESPONSE);

    TestOnCompleteListener<InstallationTokenResult> onCompleteListener =
        new TestOnCompleteListener<>();
    Task<InstallationTokenResult> task = firebaseInstallations.getToken(false);
    task.addOnCompleteListener(executor, onCompleteListener);
    onCompleteListener.await();

    PersistedInstallationEntry entry = persistedInstallation.readPersistedInstallationEntryValue();
    assertThat(entry.getAuthToken(), equalTo(TEST_AUTH_TOKEN));
  }"
(int trainingBatchSize),"class createValueLabels {
@Override
    public INDArray createValueLabels(int trainingBatchSize) {
        return Nd4j.create(trainingBatchSize, 1);
    }
}","@Test
    public void when_callingCreateValueLabels_expect_INDArrayWithCorrectShape() {
        // Arrange

        // Act
        INDArray result = sut.createValueLabels(4);

        // Assert
        assertArrayEquals(new long[] { 4, 1 }, result.shape());
    }"
"(boolean resetCounters, boolean buildHuffmanTree)","class buildJointVocabulary {
public VocabCache<T> buildJointVocabulary(boolean resetCounters, boolean buildHuffmanTree) {
        long lastTime = System.currentTimeMillis();
        long lastSequences = 0;
        long lastElements = 0;
        long startTime = lastTime;
        AtomicLong parsedCount = new AtomicLong(0);
        if (resetCounters && buildHuffmanTree)
            throw new IllegalStateException(""You can't reset counters and build Huffman tree at the same time!"");

        if (cache == null)
            cache = new AbstractCache.Builder<T>().build();

        log.debug(""Target vocab size before building: ["" + cache.numWords() + ""]"");
        final AtomicLong loopCounter = new AtomicLong(0);

        AbstractCache<T> topHolder = new AbstractCache.Builder<T>().minElementFrequency(0).build();

        int cnt = 0;
        int numProc = Runtime.getRuntime().availableProcessors();
        int numThreads = Math.max(numProc / 2, 2);
        PriorityScheduler executorService = new PriorityScheduler(numThreads);
        final AtomicLong execCounter = new AtomicLong(0);
        final AtomicLong finCounter = new AtomicLong(0);

        for (VocabSource<T> source : sources) {
            SequenceIterator<T> iterator = source.getIterator();
            iterator.reset();

            log.debug(""Trying source iterator: ["" + cnt + ""]"");
            log.debug(""Target vocab size before building: ["" + cache.numWords() + ""]"");
            cnt++;

            AbstractCache<T> tempHolder = new AbstractCache.Builder<T>().build();

            int sequences = 0;
            while (iterator.hasMoreSequences()) {
                Sequence<T> document = iterator.nextSequence();

                seqCount.incrementAndGet();
                parsedCount.addAndGet(document.size());
                tempHolder.incrementTotalDocCount();
                execCounter.incrementAndGet();

                if (allowParallelBuilder) {
                    executorService.execute(new VocabRunnable(tempHolder, document, finCounter, loopCounter));
                    // as we see in profiler, this lock isn't really happen too often
                    // we don't want too much left in tail

                    while (execCounter.get() - finCounter.get() > numProc) {
                        ThreadUtils.uncheckedSleep(1);
                    }
                }
                else  {
                    processDocument(tempHolder, document, finCounter, loopCounter);
                }

                sequences++;
                if (seqCount.get() % 100000 == 0) {
                    long currentTime = System.currentTimeMillis();
                    long currentSequences = seqCount.get();
                    long currentElements = parsedCount.get();

                    double seconds = (currentTime - lastTime) / (double) 1000;

                    //                    Collections.sort(timesHasNext);
                    //                    Collections.sort(timesNext);

                    double seqPerSec = (currentSequences - lastSequences) / seconds;
                    double elPerSec = (currentElements - lastElements) / seconds;
                    //                    log.info(""Document time: {} us; hasNext time: {} us"", timesNext.get(timesNext.size() / 2), timesHasNext.get(timesHasNext.size() / 2));
                    log.info(""Sequences checked: [{}]; Current vocabulary size: [{}]; Sequences/sec: {}; Words/sec: {};"",
                                    seqCount.get(), tempHolder.numWords(), String.format(""%.2f"", seqPerSec),
                                    String.format(""%.2f"", elPerSec));
                    lastTime = currentTime;
                    lastElements = currentElements;
                    lastSequences = currentSequences;

                    //                    timesHasNext.clear();
                    //                    timesNext.clear();
                }

                /**
                 * Firing scavenger loop
                 */
                if (enableScavenger && loopCounter.get() >= 2000000 && tempHolder.numWords() > 10000000) {
                    log.info(""Starting scavenger..."");
                    while (execCounter.get() != finCounter.get()) {
                        ThreadUtils.uncheckedSleep(1);
                    }

                    filterVocab(tempHolder, Math.max(1, source.getMinWordFrequency() / 2));
                    loopCounter.set(0);
                }

                //                timesNext.add((time2 - time1) / 1000L);
                //                timesHasNext.add((time1 - time3) / 1000L);

                //                time3 = System.nanoTime();
            }

            // block untill all threads are finished
            log.debug(""Waiting till all processes stop..."");
            while (execCounter.get() != finCounter.get()) {
                ThreadUtils.uncheckedSleep(1);
            }


            // apply minWordFrequency set for this source
            log.debug(""Vocab size before truncation: ["" + tempHolder.numWords() + ""],  NumWords: [""
                            + tempHolder.totalWordOccurrences() + ""], sequences parsed: ["" + seqCount.get()
                            + ""], counter: ["" + parsedCount.get() + ""]"");
            if (source.getMinWordFrequency() > 0) {
                filterVocab(tempHolder, source.getMinWordFrequency());
            }

            log.debug(""Vocab size after truncation: ["" + tempHolder.numWords() + ""],  NumWords: [""
                            + tempHolder.totalWordOccurrences() + ""], sequences parsed: ["" + seqCount.get()
                            + ""], counter: ["" + parsedCount.get() + ""]"");
            // at this moment we're ready to transfer
            topHolder.importVocabulary(tempHolder);
        }

        // at this moment, we have vocabulary full of words, and we have to reset counters before transfer everything back to VocabCache

        //topHolder.resetWordCounters();


        System.gc();
        cache.importVocabulary(topHolder);

        // adding UNK word
        if (unk != null) {
            log.info(""Adding UNK element to vocab..."");
            unk.setSpecial(true);
            cache.addToken(unk);
        }

        if (resetCounters) {
            for (T element : cache.vocabWords()) {
                element.setElementFrequency(0);
            }
            cache.updateWordsOccurrences();
        }

        if (buildHuffmanTree) {

            if (limit > 0) {
                // we want to sort labels before truncating them, so we'll keep most important words
                val words = new ArrayList<T>(cache.vocabWords());
                Collections.sort(words);

                // now rolling through them
                for (val element : words) {
                    if (element.getIndex() > limit && !element.isSpecial() && !element.isLabel())
                        cache.removeElement(element.getLabel());
                }
            }
            // and now we're building Huffman tree
            val huffman = new Huffman(cache.vocabWords());
            huffman.build();
            huffman.applyIndexes(cache);
        }

        executorService.shutdown();

        System.gc();

        long endSequences = seqCount.get();
        long endTime = System.currentTimeMillis();
        double seconds = (endTime - startTime) / (double) 1000;
        double seqPerSec = endSequences / seconds;
        log.info(""Sequences checked: [{}], Current vocabulary size: [{}]; Sequences/sec: [{}];"", seqCount.get(),
                        cache.numWords(), String.format(""%.2f"", seqPerSec));
        return cache;
    }
}","@Test(timeout=5000)		// 5s timeout
    public void testParallelTokenizationDisabled_Completes() throws Exception {
        File inputFile = Resources.asFile(""big/raw_sentences.txt"");
        SentenceIterator iter = new BasicLineIterator(inputFile);

        SentenceTransformer transformer = new SentenceTransformer.Builder().iterator(iter).tokenizerFactory(t).build();

        AbstractSequenceIterator<VocabWord> sequenceIterator =
                new AbstractSequenceIterator.Builder<>(transformer).build();

        VocabConstructor<VocabWord> constructor = new VocabConstructor.Builder<VocabWord>().addSource(sequenceIterator, 5)
                .allowParallelTokenization( false)
                .build();

        constructor.buildJointVocabulary(false, true);
    }"
(int numShards),"class getSubset {
public List<String> getSubset(int numShards) {
        return getSubset(numShards, null);
    }
}","@Test
    public void testSelectionWithoutMaskB2() throws Exception {
        List<NetworkInformation> collection = new ArrayList<>();

        // we imitiate 512 cluster nodes here
        for (int i = 0; i < 512; i++) {
            NetworkInformation information = new NetworkInformation();

            information.addIpAddress(getRandomAwsIp());

            if (i < 30) {
                information.addIpAddress(""192.168.0."" + i);
            } else if (i < 95) {
                information.addIpAddress(""10.0.12."" + i);
            } else if (i < 255) {
                information.addIpAddress(""10.172.12."" + i);
            }

            collection.add(information);
        }

        NetworkOrganizer organizer = new NetworkOrganizer(collection);

        List<String> shards = organizer.getSubset(15);

        assertEquals(15, shards.size());

        for (String ip : shards) {
            assertNotEquals(null, ip);
            assertTrue(ip.startsWith(""172.""));
        }

        List<String> backup = organizer.getSubset(15, shards);

        for (String ip : backup) {
            assertNotEquals(null, ip);
            assertTrue(ip.startsWith(""172.""));
            assertFalse(shards.contains(ip));
        }

    }"
"(int x1, int y1, int x2, int y2)","class getLineGridIntersection {
public static int[][] getLineGridIntersection(int x1, int y1, int x2, int y2) {
        // -- case: dot
        if (y1 == y2 && x1 == x2) {
            // return all four grid cells surrounding this dot
            int[][] result = new int[4][2];
            result[0][0] = x1;
            result[0][1] = y1;
            result[1][0] = x1 - 1;
            result[1][1] = y1;
            result[2][0] = x1;
            result[2][1] = y1 - 1;
            result[3][0] = x1 - 1;
            result[3][1] = y1 - 1;
            return result;
        }

        // -- case: horizontal line
        if (y1 == y2) {
            int[][] result = new int[Math.abs(x2-x1)*2][2];
            int i = 0;
            for (int x = Math.min(x1,x2), max = Math.max(x1, x2); x < max; x++) {
                result[i][0] = x;
                result[i++][1] = y1;
                result[i][0] = x;
                result[i++][1] = y1 - 1;
            }
            return result;
        }

        // -- case: vertical line
        if (x1 == x2) {
            int[][] result = new int[Math.abs(y2-y1)*2][2];
            int i = 0;
            for (int y = Math.min(y1,y2), max = Math.max(y1, y2); y < max; y++) {
                result[i][0] = x1;
                result[i++][1] = y;
                result[i][0] = x1 - 1;
                result[i++][1] = y;
            }
            return result;
        }

        // -- case: general
        // result array list
        ArrayList<int[]> result = new ArrayList<int[]>();

        // step direction
        int stepX = (x2 > x1) ? 1 : -1;
        int stepY = (y2 > y1) ? 1 : -1;

        // starting grid coordinates
        int x = x1 + (stepX == 1 ? 0 : -1);
        int y = y1 + (stepY == 1 ? 0 : -1);

        // stop grid coordinates
        int stopX = x2 + (stepX == 1 ? -1 : 0);
        int stopY = y2 + (stepY == 1 ? -1 : 0);

        // the ""progress"" value
        double val = Math.abs((y2 - y1) / (double)(x2 - x1));

        int tMaxX = 1;
        int tMaxY = 1;

        // add the initial point
        result.add(new int[] {x, y});

        // the stop position should always be reached, but if the alternative is
        // to be stuck in an infinity loop the slightly more expensive check is preferred
        while (
                //x != stopX || y != stopY
                ((stepX == 1 && x < stopX) || (stepX == -1 && x > stopX)) ||
                ((stepY == 1 && y < stopY) || (stepY == -1 && y > stopY))
        ) {

            double cTMaxX = val * tMaxX - tMaxY;

            if (Math.abs(cTMaxX) < 0.0000000001) {
                tMaxX++;
                tMaxY++;
                x = x + stepX;
                y = y + stepY;
            } else if (cTMaxX < 0) {
                tMaxX++;
                x = x + stepX;
            } else {
                tMaxY++;
                y = y + stepY;
            }

            result.add(new int[] {x, y});
        }

        // convert result
        int[][] resultArray = new int[result.size()][2];
        result.toArray(resultArray);

        return resultArray;
    }
}","@Test
    public void getLineGridIntersection() throws Exception {
        int[][] result;

        // test dot
        result = G2DUtil.getLineGridIntersection(10, 10, 10, 10);
        assert result.length == 4;
//        for (int[] res : result) {
//            System.out.println(res[0] + "" "" + res[1]);
//        }

        // test horizontal line
        result = G2DUtil.getLineGridIntersection(10, 10, 13, 10);
        assert result.length == 6;
//        for (int[] res : result) {
//            System.out.println(res[0] + "" "" + res[1]);
//        }

        // test vertical line
        result = G2DUtil.getLineGridIntersection(10, 10, 10, 13);
        assert result.length == 6;
//        for (int[] res : result) {
//            System.out.println(res[0] + "" "" + res[1]);
//        }

        // test general case
        result = G2DUtil.getLineGridIntersection(0, 0, 4, 3);
        assert result.length == 6;
//        for (int[] res : result) {
//            System.out.println(res[0] + "" "" + res[1]);
//        }

//        for (int x = 0; x < 10; x++) {
//            for (int y = 0; y < 10; y++) {
//                System.out.println(x + "" "" + y + "" "" + G2DUtil.getLineGridIntersection(0, 0, x, y).length);
//            }
//        }
    }"
( boolean wantsContext ),"class get {
public static Encoder get( boolean wantsContext ) {
        return get( defaultPlugin, wantsContext );
    }
}","@Test public void testPropertySorting() throws IOException {
        Context context = new Context();
        context.setSorted(true);
        testEncoding("":r :p 'foo'; :q 'bar'; :s 'baz'."", Encoder.get( context ), 
                new String[]{"":r""}, ""[{'_about':'http://www.epimorphics.com/tools/example#r','p':'foo','q':'bar','s':'baz'}]"");
    }"
(int s),"class dijkstra {
@Override
    public double[] dijkstra(int s) {
        double[] wt = new double[n];
        Arrays.fill(wt, Double.POSITIVE_INFINITY);

        PriorityQueue queue = new PriorityQueue(wt);
        for (int v = 0; v < n; v++) {
            queue.insert(v);
        }

        wt[s] = 0.0;
        queue.lower(s);

        while (!queue.empty()) {
            int v = queue.poll();
            if (!Double.isInfinite(wt[v])) {
                for (Edge edge : graph[v]) {
                    int w = edge.v2;
                    if (!digraph && w == v) {
                        w = edge.v1;
                    }
                    
                    double p = wt[v] + edge.weight;
                    if (p < wt[w]) {
                        wt[w] = p;
                        queue.lower(w);
                    }
                }
            }
        }
        
        return wt;
    }
}","@Test
    public void testDijkstra() {
        System.out.println(""Dijkstra"");
        double[][] wt = {
            {0.00, 0.41, 0.82, 0.86, 0.50, 0.29},
            {1.13, 0.00, 0.51, 0.68, 0.32, 1.06},
            {0.95, 1.17, 0.00, 0.50, 1.09, 0.88},
            {0.45, 0.67, 0.91, 0.00, 0.59, 0.38},
            {0.81, 1.03, 0.32, 0.36, 0.00, 0.74},
            {1.02, 0.29, 0.53, 0.57, 0.21, 0.00},
        };

        Graph graph = new AdjacencyList(6, true);
        graph.addEdge(0, 1, 0.41);
        graph.addEdge(1, 2, 0.51);
        graph.addEdge(2, 3, 0.50);
        graph.addEdge(4, 3, 0.36);
        graph.addEdge(3, 5, 0.38);
        graph.addEdge(3, 0, 0.45);
        graph.addEdge(0, 5, 0.29);
        graph.addEdge(5, 4, 0.21);
        graph.addEdge(1, 4, 0.32);
        graph.addEdge(4, 2, 0.32);
        graph.addEdge(5, 1, 0.29);

        double[][] wt2 = graph.dijkstra();
        
        assertTrue(MathEx.equals(wt, wt2));
    }"
(byte zoomLevel),"class zoomLevelToScaleFactor {
public static double zoomLevelToScaleFactor(byte zoomLevel) {
        return Math.pow(2, zoomLevel);
    }
}","@Test
    public void zoomLevelToScaleFactorTest() {
        for (byte zoomLevel = ZOOM_LEVEL_MIN; zoomLevel <= ZOOM_LEVEL_MAX; ++zoomLevel) {
            double scaleFactor = MercatorProjection.zoomLevelToScaleFactor(zoomLevel);
            Assert.assertEquals(zoomLevel, MercatorProjection.scaleFactorToZoomLevel(scaleFactor), 0.0001f);
        }
    }"
"(int noCollisionPercent, int longestSlot)","class hashQuality {
static int hashQuality(int noCollisionPercent, int longestSlot) {
    if (longestSlot == 0) {
      return 100;
    }
    int correctionForOversizeSlot = (int)
      ((1 - Math.exp(EXPONENT_CONSTANT * Math.max(0, longestSlot - SLOT_SIZE_MINIMUM))) * 100);
    int quality = noCollisionPercent - correctionForOversizeSlot;
    return Math.max(0, Math.min(100, quality));
  }
}","@Test
  public void testHashQuality80_7() {
    assertEquals(78, CacheBaseInfo.hashQuality(80, 7));
  }"
"(long elapsedDuration, int sectionDurationMs, int maxSection)","class normalizeDuration {
public static String normalizeDuration(long elapsedDuration, int sectionDurationMs, int maxSection) {
        long normalizedDuration;
        if (elapsedDuration % sectionDurationMs == 0) {
            normalizedDuration = elapsedDuration;
        } else {
            normalizedDuration = (elapsedDuration + sectionDurationMs) / sectionDurationMs * sectionDurationMs;
        }

        final int maxDuration = sectionDurationMs * maxSection;

        if (normalizedDuration <= maxDuration) {
            return ""<="" + normalizedDuration;
        } else {
            return "">"" + maxDuration;
        }
    }
}","@Test
    public void normalizeDuration_isCorrect_1() throws Exception {
        Assert.assertEquals(""<=50"",
                TimingUtils.normalizeDuration(50, TimingUtils.SECTION_DURATION_50_MS, TimingUtils.MAX_SECTION_20));
    }"
