Parameter,Function,Test Case,cyclomatic_complexity,SPF_Results
(double rads),"public class RestrictRadians {
public static double restrictRadians(double rads) {
		while (rads >= 2 * Math.PI) { // if radian exceeds unit circle
			rads -= 2 * Math.PI; // rotate until w/in unit circle parameters
		}
		while (rads < 0) { // if radian is less than unit circle
			rads += 2 * Math.PI; // rotate until w/in unit circle parameters
		}
		return rads;
	}
}","@Test
	public void testRestrictRadians() {
		double rads1 = 4 * Math.PI;
		double rads2 = 4 * Math.PI - .1;
		assertEquals(CartesianGeometricUtilities.restrictRadians(rads1), 0.0, DOUBLE_THRESHOLD);
		assertEquals(CartesianGeometricUtilities.restrictRadians(rads2), 2 * Math.PI - .1, DOUBLE_THRESHOLD);
	}",3,"Inputs: rads_1_SYMREAL

demo.RestrictRadians.restrictRadians(0.0)  --> Return Value: 0.0
demo.RestrictRadians.restrictRadians(6.2831853071)  --> Return Value: -7.958611547564942E-11
demo.RestrictRadians.restrictRadians(7.2831853071)  --> Return Value: 0.9999999999204139
demo.RestrictRadians.restrictRadians(12.5663706143)  --> Return Value: -5.917222267726174E-11
demo.RestrictRadians.restrictRadians(13.5663706143)  --> Return Value: 0.9999999999408278
demo.RestrictRadians.restrictRadians(18.8495559215)  --> Return Value: -3.8760106235713465E-11
demo.RestrictRadians.restrictRadians(19.8495559215)  --> Return Value: 0.9999999999612399
demo.RestrictRadians.restrictRadians(25.1327412287)  --> Return Value: -1.8346213437325787E-11
demo.RestrictRadians.restrictRadians(26.1327412287)  --> Return Value: 0.9999999999816538
demo.RestrictRadians.restrictRadians(31.4159265358)  --> Return Value: -9.793055255613581E-11
demo.RestrictRadians.restrictRadians(32.4159265358)  --> Return Value: 0.9999999999020659
demo.RestrictRadians.restrictRadians(37.699111843)  --> Return Value: -7.752021247142693E-11
demo.RestrictRadians.restrictRadians(38.699111843)  --> Return Value: 0.9999999999224798
demo.RestrictRadians.restrictRadians(43.9822971502)  --> Return Value: -5.710631967303925E-11
demo.RestrictRadians.restrictRadians(44.9822971502)  --> Return Value: 0.9999999999428937
demo.RestrictRadians.restrictRadians(50.2654824574)  --> Return Value: -3.6692426874651574E-11
demo.RestrictRadians.restrictRadians(51.2654824574)  --> Return Value: 0.9999999999633076
demo.RestrictRadians.restrictRadians(56.5486677646)  --> Return Value: -1.6278534076263895E-11
"
"(int colourValue, int colourDistance)","public class UpdateColourValue {
static int updateColourValue(int colourValue, int colourDistance) {
        if (colourDistance < 0) {
            return colourValue + 1;
        } else if (colourDistance > 0) {
            return colourValue - 1;
        } else {
            // This shouldn't actually happen here.
            return colourValue;
        }
    }
}","@Test
    public void updateColourValue() {
        assertThat(ColourGradient.updateColourValue(3, 255), is(2));
        assertThat(ColourGradient.updateColourValue(3, -255), is(4));
        assertThat(ColourGradient.updateColourValue(3, 0), is(3));
    }",3,"Inputs: colourValue_1_SYMINT,colourDistance_2_SYMINT

demo.UpdateColourValue.updateColourValue(-9223372036854775808(don't care),-1)  --> Return Value: -9223372036854775807
demo.UpdateColourValue.updateColourValue(-9223372036854775808(don't care),1)  --> Return Value: 9223372036854775807
demo.UpdateColourValue.updateColourValue(-9223372036854775808(don't care),0)  --> Return Value: -9223372036854775808
"
(byte firstByteVarInt),"public class GetVarIntSize {
public static byte getVarIntSize(byte firstByteVarInt) {
	int unsignedByte=firstByteVarInt & 0xFF;
	if (unsignedByte==0xFD) {
		 return 3;
	}
	if (unsignedByte==0xFE) {
		return 5;
	}
	if (unsignedByte==0xFF) {
		return 9;
	}
	return 1; //<0xFD
}
}","@Test
  public void getVarIntSizeByte() {
    byte[] originalVarInt = new byte[] {0x02};
    byte varIntSize = BitcoinUtil.getVarIntSize(originalVarInt[0]);
    assertEquals( 1, varIntSize,""varInt {0x02} must be of size 1"");
  }",4,
"(double x,double y)","public class ComputeAngle {
static float computeAngle (double x,double y) {
        double theta = Math.atan2(y,x) ;
        //the result from atan2 goes from pi to -pi
        if (theta<0){
            theta=2*Math.PI+theta;
        }
        //now return the value in degrees
        return (float)( (theta * 180 / Math.PI) % 360);
    }
}","@Test
    public void computeAngle(){
        //having an accelerometer reading of x = 1.0 y= 0.0
        //should give us 0 as angle

        double angle = RobotController.computeAngle(1.0,0.);
        assertEquals(""(1,0) is 0 deg"",angle,0.,0.);

        angle = RobotController.computeAngle(0,1.);
        assertEquals(""(0,1) is 270 deg"",angle,90.,0.);
        angle = RobotController.computeAngle(-1,.0);
        assertEquals(""(-1,0) is 180 deg"",angle,180.,0.);

        angle = RobotController.computeAngle(0,-1.);
        assertEquals(""For (0,-1) the angle is 90."",angle,270.,0.);

    }",2,
"(int color, int alpha)","public class MultiplyColorAlpha {
public static int multiplyColorAlpha(int color, int alpha) {
    if (alpha == 255) {
      return color;
    }
    if (alpha == 0) {
      return color & 0x00FFFFFF;
    }
    alpha = alpha + (alpha >> 7); // make it 0..256
    int colorAlpha = color >>> 24;
    int multipliedAlpha = colorAlpha * alpha >> 8;
    return (multipliedAlpha << 24) | (color & 0x00FFFFFF);
  }
}","@Test
  public void testMultiplyColorAlpha() {
    assertEquals(0x00123456, ColorUtil.multiplyColorAlpha(0xC0123456, 0));
    assertEquals(0x07123456, ColorUtil.multiplyColorAlpha(0xC0123456, 10));
    assertEquals(0x96123456, ColorUtil.multiplyColorAlpha(0xC0123456, 200));
    assertEquals(0xC0123456, ColorUtil.multiplyColorAlpha(0xC0123456, 255));
  }",3,"Inputs: color_1_SYMINT,alpha_2_SYMINT

demo.MultiplyColorAlpha.multiplyColorAlpha(-9223372036854775808(don't care),255)  --> Return Value: -9223372036854775808
demo.MultiplyColorAlpha.multiplyColorAlpha(-9223372036854775808(don't care),0)  --> Return Value: 0
demo.MultiplyColorAlpha.multiplyColorAlpha(-9223372036854775808(don't care),-1)  --> Return Value: -72057594037927936
"
"(int op1, int op2)","public class Add {
public int add(int op1, int op2){
        ////Dummy plugin method
        return op1 + op2;
    }
}","@Test
    public void testAdd() throws Exception {
        //Dummy Test case for plugin method
        MyPlugin plugin = TestUtils.newInstance(MyPlugin.class, ""pluginId"");
        assertEquals(3, plugin.add(1, 2));
        assertEquals(-1, plugin.add(1, -2));
    }",1,
(long millis),"public class ThreadSleep {
public static void threadSleep(long millis) {
        try {
            Thread.sleep(millis);
        } catch (InterruptedException e) {
            // we simply ignore if sleep was interrupted
        }
    }
}","@Test
    public void threadSleepTest() {
        // GIVEN
        final long testStart = System.currentTimeMillis();
        final long requestedSleepDuration = 85L;
        final long measuringMargin = 100L;

        // WHEN
        WearUtil.threadSleep(requestedSleepDuration);
        final long measuredSleepDuration = System.currentTimeMillis() - testStart;

        // THEN
        // we cannot guarantee to be exact to the millisecond - we add some margin of error
        assertThat(measuredSleepDuration, is(both(greaterThan(60L)).and(lessThan(requestedSleepDuration+measuringMargin))));
    }",2,"Inputs: millis_1_SYMINT
No path conditions for demo.ThreadSleep.threadSleep(0)
"
"(int page, int perPage, int totalEntries)","public class FromIndex {
int fromIndex(int page, int perPage, int totalEntries) {
        // invalid parameters
        if (page <= 0 || perPage <= 0 || totalEntries < 0) {
            return 0;
        }
        // impossible pages
        if ((page - 1) * perPage >= totalEntries) {
            return 0;
        }
        // valid and possible pages
        return (page - 1) * perPage;
    }
}","@Test
    public void testFromIndex() throws Exception {
        PaginationHelper paginationHelper = new PaginationHelper<>(null, null);
        // invalid: just return 0
        // parameters
        assertEquals(0, paginationHelper.fromIndex(0, 1, 2));
        assertEquals(0, paginationHelper.fromIndex(1, 0, 2));
        assertEquals(0, paginationHelper.fromIndex(-1, 1, 2));
        assertEquals(0, paginationHelper.fromIndex(1, -1, 2));
        assertEquals(0, paginationHelper.fromIndex(1, 1, -1));
        // impossible pages
        assertEquals(0, paginationHelper.fromIndex(20, 10, 5));
        assertEquals(0, paginationHelper.fromIndex(2, 10, 10));
        assertEquals(0, paginationHelper.fromIndex(2, 100, 100));

        // valid
        assertEquals(0, paginationHelper.fromIndex(1, 10, 2));
        assertEquals(10, paginationHelper.fromIndex(2, 10, 11));
        assertEquals(264, paginationHelper.fromIndex(23, 12, 1230));
    }",5,
"(int page, int perPage, int totalEntries)","public class ToIndex {
int toIndex(int page, int perPage, int totalEntries) {
        // invalid parameters
        if (page <= 0 || perPage <= 0 || totalEntries < 0) {
            return 0;
        }
        // behind the limited range
        if ((page - 1) * perPage >= totalEntries) {
            return 0;
        }
        // valid and possible pages
        return perPage * page < totalEntries ? perPage * page : totalEntries;
    }
}","@Test
    public void testToIndex() throws Exception {
        PaginationHelper paginationHelper = new PaginationHelper<>(null, null);
        // invalid: just return 0
        // parameters
        assertEquals(0, paginationHelper.toIndex(0, 1, 2));
        assertEquals(0, paginationHelper.toIndex(1, 0, 2));
        assertEquals(0, paginationHelper.toIndex(-1, 1, 2));
        assertEquals(0, paginationHelper.toIndex(1, -1, 2));
        assertEquals(0, paginationHelper.toIndex(1, 1, -1));
        // impossible pages
        assertEquals(0, paginationHelper.toIndex(20, 10, 5));
        assertEquals(0, paginationHelper.toIndex(2, 10, 10));
        assertEquals(0, paginationHelper.toIndex(2, 100, 100));

        // valid
        assertEquals(2, paginationHelper.toIndex(1, 10, 2));
        assertEquals(11, paginationHelper.toIndex(2, 10, 11));
        assertEquals(276, paginationHelper.toIndex(23, 12, 1230));
    }",5,
(int n),"public class CombinationOfTwo {
protected long combinationOfTwo(int n) {
        // a micooptimization, instead of computing factorial, in case of k=2
        // this is much faster
        return n * (n - 1) >>> 1; //equal to division by 2
    }
}","@Test
    public void testCombinationOfTwo() {
        int n = 5;
        AdjustedRand ari = (AdjustedRand) subject;
        assertEquals(CombinatoricsUtils.binomialCoefficient(n, 2), ari.combinationOfTwo(n));
        n = 15;
        assertEquals(CombinatoricsUtils.binomialCoefficient(n, 2), ari.combinationOfTwo(n));
    }",1,
"(double minValue, double maxValue)","public class CountMedian {
protected double countMedian(double minValue, double maxValue) {
        //in case of negative min, we add it again
        //@test [10-(-5)] /2 + (-5) = 7.5 - 5 = 2.5
        //@test 10 - 0 = 5 + 0 = 5
        //@test 1 - (-1) = 1-1 = 0
        return (maxValue - minValue) / 2 + minValue;
    }
}","@Test
    public void testCountMedian() {
        ColorScheme cs = new ColorScheme();
        assertEquals(0.0, cs.countMedian(-10, 10), delta);

    }",1,
"(int op1, int op2)","public class Div {
public double div(int op1, int op2) {
        // if (op2 == 0) return 0;
        return op1 / op2;
    }
}","@Test
    public void testDiv() {
        calculator = new Calculator();
        double total = calculator.div(9, 3);
        assertEquals(""Calculator is not dividing correctly"", 3.0, total, 0.0);
    }",1,
(int value),"public class GetNextPowerOf2 {
public static int getNextPowerOf2(int value) {
        if (value < 0) {
            throw new IllegalArgumentException(""Negative value N/A: "" + value);
        }

        int j = 1;
        while (j < value) {
            j <<= 1;
            // Did we stumble onto the realm of values beyond 2GB ?
            if (j <= 0) {
                return value;
            }
        }

        return j;
    }
}","@Test
    public void testIntNextPowerOf2() {
        int expected = 1;
        for (int index = 0; index < Integer.SIZE; expected <<= 1, index++) {
            if (expected > 2) {
                assertEquals(""Mismatched lower bound value"", expected, NumberUtils.getNextPowerOf2(expected - 1));
            }

            if (expected > 0) { // avoid the negative value
                assertEquals(""Mismatched exact value"", expected, NumberUtils.getNextPowerOf2(expected));
            }
        }
    }",4,"Inputs: value_1_SYMINT

demo.GetNextPowerOf2.getNextPowerOf2(-1)  --> ""java.lang.IllegalArgumentException: Negative value N/A: 0...""
demo.GetNextPowerOf2.getNextPowerOf2(0)  --> Return Value: 1
demo.GetNextPowerOf2.getNextPowerOf2(2)  --> Return Value: 2
demo.GetNextPowerOf2.getNextPowerOf2(3)  --> Return Value: 4
demo.GetNextPowerOf2.getNextPowerOf2(5)  --> Return Value: 8
demo.GetNextPowerOf2.getNextPowerOf2(9)  --> Return Value: 16
demo.GetNextPowerOf2.getNextPowerOf2(17)  --> Return Value: 32
demo.GetNextPowerOf2.getNextPowerOf2(33)  --> Return Value: 64
demo.GetNextPowerOf2.getNextPowerOf2(65)  --> Return Value: 128
"
"(long seconds, int nanoseconds)","public class ToDecimal {
public static String toDecimal(long seconds, int nanoseconds)
    {
        StringBuilder sb = new StringBuilder(20)
            .append(seconds)
            .append('.');
        // 14-Mar-2016, tatu: Although we do not yet (with 2.7) trim trailing zeroes,
        //   for general case,
        if (nanoseconds == 0L) {
            // !!! TODO: 14-Mar-2016, tatu: as per [datatype-jsr310], should trim
            //     trailing zeroes
            if (seconds == 0L) {
                return ""0.0"";
            }

//            sb.append('0');
            sb.append(""000000000"");
        } else {
            StringBuilder nanoSB = new StringBuilder(9);
            nanoSB.append(nanoseconds);
            // May need to both prepend leading nanos (if value less than 0.1)
            final int nanosLen = nanoSB.length();
            int prepZeroes = 9 - nanosLen;
            while (prepZeroes > 0) {
                --prepZeroes;
                sb.append('0');
            }

            // !!! TODO: 14-Mar-2016, tatu: as per [datatype-jsr310], should trim
            //     trailing zeroes
            /*
            // AND possibly trim trailing ones
            int i = nanosLen;
            while ((i > 1) && nanoSB.charAt(i-1) == '0') {
                --i;
            }
            if (i < nanosLen) {
                nanoSB.setLength(i);
            }
            */
            sb.append(nanoSB);
        }
        return sb.toString();
    }
}","@Test
    public void testToDecimal01()
    {
        String decimal = DecimalUtils.toDecimal(0, 0);
        assertEquals(""The returned decimal is not correct."", NO_NANOSECS_SER, decimal);

        decimal = DecimalUtils.toDecimal(15, 72);
        assertEquals(""The returned decimal is not correct."", ""15.000000072"", decimal);

        decimal = DecimalUtils.toDecimal(19827342231L, 192837465);
        assertEquals(""The returned decimal is not correct."", ""19827342231.192837465"", decimal);

        decimal = DecimalUtils.toDecimal(19827342231L, 0);
        assertEquals(""The returned decimal is not correct."",
                ""19827342231""+NO_NANOSECS_SUFFIX, decimal);

        decimal = DecimalUtils.toDecimal(19827342231L, 999888000);
        assertEquals(""The returned decimal is not correct."",
                ""19827342231.999888000"", decimal);

        decimal = DecimalUtils.toDecimal(-22704862, 599000000);
        assertEquals(""The returned decimal is not correct."",
                ""-22704862.599000000"", decimal);
    }",4,"Inputs: seconds_1_SYMINT,nanoseconds_2_SYMINT

demo.ToDecimal.toDecimal(-1l,-1)  --> Return Value: java.lang.String@1d2
demo.ToDecimal.toDecimal(0l,-1)  --> Return Value: java.lang.String@1d2
demo.ToDecimal.toDecimal(1l,-1)  --> Return Value: java.lang.String@1d2
demo.ToDecimal.toDecimal(-1l,0)  --> Return Value: java.lang.String@1d2
demo.ToDecimal.toDecimal(0l,0)  --> Return Value: java.lang.String@1d2
demo.ToDecimal.toDecimal(1l,0)  --> Return Value: java.lang.String@1d2
demo.ToDecimal.toDecimal(-1l,1)  --> Return Value: java.lang.String@1d2
demo.ToDecimal.toDecimal(0l,1)  --> Return Value: java.lang.String@1d2
demo.ToDecimal.toDecimal(1l,1)  --> Return Value: java.lang.String@1d2
"
(int n),"public class EvenSum {
public static int evenSum(int n) {
        // TODO
        return -1;
    }
}","@Test
    public void evenSum_givenAllPossibilities() throws Exception {
        for (int n = 0; n <= TEST_RANGE; n += TEST_INCREMENT) assertEvenSum(evenSum(n), n);
    }",1,"Inputs: n_1_SYMINT
No path conditions for demo.EvenSum.evenSum(0)
"
(int index),"public class Remove {
public int remove(int index) {

        //TODO
        return -1;
    }
}","@Test
    public void testRemove() {
        HeadList list = new HeadList();
        list.add(0);
        list.add(-18);
        list.add(1337);
        list.add(17);
        list.add(42);

        assertListRemove(list, -1, Integer.MIN_VALUE);
        assertList(list, ""[0,-18,1337,17,42]"");

        assertListRemove(list, 5, Integer.MIN_VALUE);
        assertList(list, ""[0,-18,1337,17,42]"");

        assertListRemove(list, 0, 0);
        assertList(list, ""[-18,1337,17,42]"");

        assertListRemove(list, 4, Integer.MIN_VALUE);
        assertList(list, ""[-18,1337,17,42]"");

        assertListRemove(list, 3, 42);
        assertList(list, ""[-18,1337,17]"");

        assertListRemove(list, 1, 1337);
        assertList(list, ""[-18,17]"");
    }",1,"Inputs: index_1_SYMINT
No path conditions for demo.Remove.remove(0)
"
(int info),"public class Add {
public void add(int info) {

        //TODO

    }
}","@Test
    public void testAdd() {
        HeadList list = new HeadList();
        list.add(1337);
        assertList(list, ""[1337]"");
        list.add(42);
        assertList(list, ""[1337,42]"");
        list.add(0);
        assertList(list, ""[1337,42,0]"");
        list.add(-88);
        assertList(list, ""[1337,42,0,-88]"");

        HeadList list2 = new HeadList();
        list2.add(-19);
        assertList(list2, ""[-19]"");
    }",1,
(int x),"public class Prepend {
public void prepend(int x) {
        // TODO
    }
}","@Test
    public void prepend_givenFull_thenCallIncrease() throws Exception {
        buildStack(0, 0, 0);

        prepend(2);
        assertIncreaseCalls(1);
    }",1,"Inputs: x_1_SYMINT
No path conditions for demo.Prepend.prepend(0)
"
(int key),"public class Insert {
public void insert(int key) {
		// TODO
	}
}","@Test
    public void min_givenKey0_return0() throws Exception {
        insert(0);
        assertMin(0);
    }",1,"Inputs: key_1_SYMINT
No path conditions for demo.Insert.insert(0)
"
(int x),"public class Append {
public void append(int x) {
        // TODO
    }
}","@Test
    public void append_givenEmpty_givenSize1_appendAt0() throws Exception {
        buildStack(-1, -1, 0);

        append(2);
        assertIncreaseCalls(0);
        assertStack(0, 0, 2);
    }",1,"Inputs: x_1_SYMINT
No path conditions for demo.Append.append(0)
"
(int key),"public class Insert {
public void insert(int key) {
        // TODO...
    }
}","@Test
    public void insert_givenEmpty_thenRootIsNotNull() throws Exception {
        test.insert(1);
        Assert.assertNotNull(test.root);
    }",1,"Inputs: key_1_SYMINT
No path conditions for demo.Insert.insert(0)
"
(int key),"public class Find {
public boolean find(int key) {
        // TODO...
        return true;
    }
}","@Test
    public void find_givenNotEmpty_thenCalls_find() throws Exception {
        AVLTreeNodeBuilder node = node();
        test.root = node;

        Assert.assertTrue(test.find(0));
        Assert.assertEquals(0, node.findInput);
    }",1,"Inputs: key_1_SYMINT
No path conditions for demo.Find.find(0)
"
(int key),"public class Find {
public boolean find(int key) {
        // TODO...
        return false;
    }
}","@Test
    public void find_givenKeyNode1_input1_returnTrue() throws Exception {
        Assert.assertEquals(true, test.find(1));
    }",1,"Inputs: key_1_SYMINT
No path conditions for demo.Find.find(0)
"
(int value),"public class Enqueue {
public void enqueue(int value) {
    /*
     * Todo
     */
    }
}","@Test
    public void enqueue_givenInitialState_thenLengthIs1() throws Exception {
        test.enqueue(10);
        assertLength(1);
    }",1,"Inputs: value_1_SYMINT
No path conditions for demo.Enqueue.enqueue(0)
"
"(int index, int value)","public class Set {
public void set(int index, int value) {
    /*
     * Todo
     */
    }
}","@Test
    public void set_givenNotEmptyArray_thenOverrides() throws Exception {
        setElements(1, 2, 3, 4, 5);
        test.set(2, -3);
        assertElements(1, 2, -3, 4, 5);
    }",1,"Inputs: index_1_SYMINT,value_2_SYMINT
No path conditions for demo.Set.set(0,0)
"
(int index),"public class Get {
public int get(int index) {
    /*
     * Todo
     */
        return -2;
    }
}","@Test(expected = Exception.class)
    public void get_givenInitialState_throwsException() throws Exception {
        test.get(0);
    }",1,"Inputs: index_1_SYMINT
No path conditions for demo.Get.get(0)
"
(int value),"public class PushBack {
public void pushBack(int value) {
    /*
     * Todo
     */
    }
}","@Test
    public void pushBack_givenInitialState_thenLengthIs1() throws Exception {
        test.pushBack(10);
        assertLength(1);
    }",1,"Inputs: value_1_SYMINT
No path conditions for demo.PushBack.pushBack(0)
"
(int key),"public class Find {
public boolean find(int key) {
        // TODO
        throw new RuntimeException(""Not Implemented"");
    }
}","@Test
    public void find_givenEmpty_returnsFalse() throws Exception {
        Assert.assertFalse(getString(test), test.find(10));
    }",1,"Inputs: key_1_SYMINT
No path conditions for demo.Find.find(0)
"
(int key),"public class Insert {
public void insert(int key) {
        // TODO
        throw new RuntimeException(""Not Implemented"");
    }
}","@Test
    public void insert_givenEmpty_input0_1_2_thenKeysAre0_1_2() throws Exception {
        insert(0, 1, 2);
        Assert.assertEquals(Arrays.asList(0, 1, 2), getField(getField(""root""), ""keys""));
        assertHeight(1);
    }",1,"Inputs: key_1_SYMINT
No path conditions for demo.Insert.insert(0)
"
(int key),"public class Remove {
public boolean remove(int key) {
        // TODO
        throw new RuntimeException(""Not Implemented"");
    }
}","@Test
    public void remove_givenRootKey_givenRootEmpty_returnsTrue() throws Exception {
        setField(""root"", buildNode(0));
        Assert.assertEquals(true, test.remove(0));
    }",1,"Inputs: key_1_SYMINT
No path conditions for demo.Remove.remove(0)
"
(char movesNext),"public class Reset {
public void reset(char movesNext) {
        //TODO
    }
}","@Test
    public void reset_givenW_thenWStares() throws Exception {
        next = 'W';
        test.reset(next);

        assertNext(next);
    }",1,
"(int p1, int p2)","public class DetermineWinner {
public static int determineWinner(int p1, int p2) {
        //TODO
        return -1;
    }
}","@Test
    public void determineWinner_givenSame_return0() throws Exception {
        Assert.assertEquals(0, determineWinner(0, 0));
        Assert.assertEquals(0, determineWinner(1, 1));
        Assert.assertEquals(0, determineWinner(2, 2));
    }",1,"Inputs: p1_1_SYMINT,p2_2_SYMINT
No path conditions for demo.DetermineWinner.determineWinner(0,0)
"
"(int timeInSeconds, int bucketInSeconds)","public class GetWindowFlooredNaturalTime {
public static int getWindowFlooredNaturalTime(int timeInSeconds, int bucketInSeconds) {
		/**
		 * bit shifting division and multiplication doesn't outperform the JIT compiler
		 */
		// return (timeInSeconds >> bucketInSeconds) << bucketInSeconds;
		return ((timeInSeconds / bucketInSeconds) * bucketInSeconds);
	}
}","@Test
	public void testFlooredNaturalTime() {
		int time = (int) (System.currentTimeMillis() / 1000);
		int windowFlooredNaturalTime = TimeUtils.getWindowFlooredNaturalTime(time, 3600);
		assertEquals((time / 3600) * 3600, windowFlooredNaturalTime);
	}",1,"Inputs: timeInSeconds_1_SYMINT,bucketInSeconds_2_SYMINT

demo.GetWindowFlooredNaturalTime.getWindowFlooredNaturalTime(-9223372036854775808(don't care),-1)  --> Return Value: -9223372036854775808
demo.GetWindowFlooredNaturalTime.getWindowFlooredNaturalTime(-9223372036854775808(don't care),0)  --> ""java.lang.ArithmeticException: div by 0...""
"
(int i),"public class NextArraySize {
public static int nextArraySize(int i) {
    if (i < 0) {
      throw new IllegalArgumentException();
    }

    if (i > (1 << 30)) {
      return Integer.MAX_VALUE; // this is the next power of 2 minus one... a special case
    }

    if (i == 0) {
      return 1;
    }

    // round up to next power of two
    int ret = i;
    ret--;
    ret |= ret >> 1;
    ret |= ret >> 2;
    ret |= ret >> 4;
    ret |= ret >> 8;
    ret |= ret >> 16;
    ret++;

    return ret;
  }
}","@Test public void testArrayResizing() {
    int size = 64;
    int expected = 128;
    for (int i = 0; i < 10; i++) {
      // We keep being one byte short to contain this message
      int next = UnsynchronizedBuffer.nextArraySize(size + 1);
      assertEquals(expected, next);
      size = next;
      expected *= 2;
    }
  }",4,"Inputs: i_1_SYMINT

demo.NextArraySize.nextArraySize(-1)  --> ""java.lang.IllegalArgumentException...""
demo.NextArraySize.nextArraySize(1073741825)  --> Return Value: 2147483647
demo.NextArraySize.nextArraySize(0)  --> Return Value: 1
demo.NextArraySize.nextArraySize(1)  --> Return Value: 1
"
"(long x, long y)","public class FloorDiv {
public static long floorDiv(long x, long y) {
    long r = x / y;
    // if the signs are different and modulo not zero, round down
    if ((x ^ y) < 0 && (r * y != x)) {
      r--;
    }
    return r;
  }
}","@Test public void testFloorDiv() {
    assertThat(floorDiv(13, 3), equalTo(4L));
    assertThat(floorDiv(12, 3), equalTo(4L));
    assertThat(floorDiv(11, 3), equalTo(3L));
    assertThat(floorDiv(-13, 3), equalTo(-5L));
    assertThat(floorDiv(-12, 3), equalTo(-4L));
    assertThat(floorDiv(-11, 3), equalTo(-4L));
    assertThat(floorDiv(0, 3), equalTo(0L));
    assertThat(floorDiv(1, 3), equalTo(0L));
    assertThat(floorDiv(-1, 3), is(-1L));
  }",3,"Inputs: x_1_SYMINT,y_2_SYMINT

demo.FloorDiv.floorDiv(-9223372036854775808(don't care),-9223372036854775808(don't care))  --> ""java.lang.ArithmeticException: long division by zero...""
"
(int num),"public class RecursiveOne {
static int recursiveOne(int num) {
//    System.out.println(""run"");
    if (num < 0) {
      return 0;
    }

    if (num == 1) {
      return 1;
    }

    return recursiveOne(num - 1) + recursiveOne(num - 2);
  }
}","@Test
  public void testRecursiveOne() throws Exception {
    general(Fibonacci::recursiveOne, 100);
  }",3,"Inputs: num_49_SYMINT[-9223372036854775808]
No path conditions for demo.RecursiveOne.recursiveOne(-5)
"
"(int x[], int c[])","public class NextLexicographicElement {
public static boolean nextLexicographicElement(int x[], int c[]) {
		assert(x.length == c.length);
		final int l = x.length;
		if (l < 1) {
			return false;
		}
		
		// iterate over the elements starting at the end, until we find an element that can be incremented.
		for (int i = l - 1; i >= 0; --i) {
			++x[i];
			if (x[i] == c[i]) {
				x[i] = 0;
			} else {
				return true; // greater permutation found
			}
		}
		return false; // no greater permutation found (and array reset to {0, ...})
	}
}","@Test
	public void testNextLexicographicElement() {
		int c[] = new int[] {1, 2, 3, 1};
		int x[] = new int[] {0, 0, 0, 0};
		
		assertTrue(CollectionUtil.nextLexicographicElement(x, c));
		assertArrayEquals(new int[] {0, 0, 1, 0}, x);
		assertTrue(CollectionUtil.nextLexicographicElement(x, c));
		assertArrayEquals(new int[] {0, 0, 2, 0}, x);
		assertTrue(CollectionUtil.nextLexicographicElement(x, c));
		assertArrayEquals(new int[] {0, 1, 0, 0}, x);
		assertTrue(CollectionUtil.nextLexicographicElement(x, c));
		assertArrayEquals(new int[] {0, 1, 1, 0}, x);
		assertTrue(CollectionUtil.nextLexicographicElement(x, c));
		assertArrayEquals(new int[] {0, 1, 2, 0}, x);
		assertFalse(CollectionUtil.nextLexicographicElement(x, c));
		assertArrayEquals(new int[] {0, 0, 0, 0}, x);
		
		assertFalse(CollectionUtil.nextLexicographicElement(new int[] { 0 }, new int[] { 1 }));
		assertTrue(CollectionUtil.nextLexicographicElement(new int[] { 0 }, new int[] { 2 }));
	}",4,
(long numericalValue),"public class Format {
public static String format(long numericalValue) {
        // Based on http://programming.guide/java/formatting-byte-size-to-human-readable-format.html
        if (numericalValue < 1024) {
            return numericalValue + "" B"";
        }
        int exp = (int) (Math.log(numericalValue) / Math.log(1024));
        String pre = ""KMGTPE"".charAt(exp - 1) + ""i"";
        return String.format(""%.0f %sB"", numericalValue / Math.pow(1024, exp), pre);
    }
}","@Test
    public void testFormat() {
        for (int i = 0; i < formattedValues.length; i++) {
            assertThat(IECBinary.format(rawValues[i])).isEqualTo(formattedValues[i]);
        }

        assertThat(IECBinary.format(1024 + 512 - 1)).isEqualTo(""1 KiB"");
        assertThat(IECBinary.format(1024 + 512)).isEqualTo(""2 KiB"");
    }",2,"Inputs: numericalValue_1_SYMINT

demo.Format.format(0l)  --> Return Value: java.lang.String@1d2
demo.Format.format(1024l)  --> Return Value: java.lang.String@1d2
demo.Format.format(1025l)  --> Return Value: java.lang.String@1d2
"
